epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean
1,1.044043739636739,1.0435750087102253,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.68469737132759,0.032143244257492,0.03398161725989399,72,18,54,0,0,0.25,0,0,117.0,145.33333333333334,4082.460005760193,4993489764.827861,3.071600834528605,1,0.0003,3.0,0.5065653622150421,62.49289187788963,0.7486863136291504,0.4876883924007416,0.0003787462095109125,0.0,0.0,0.49991487463315326,0.05981253460049629,7.92875337600708,0.5047402779261271,7.999984582265218,1.4922443404599715,0.9971175392468771,0.480783353249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.680793046951294,62.492154071728386,0.000724573212210089,1.3698227405548096,0.9881182114283243,0.9881182114283243,0.009374999751647314,0.27512578169504803,0.9505972663561503,,,
2,0.9918166796366373,0.9686450759569804,0.0,0.09078196932872136,0.12109839916229248,0.0,0.0,0.0,0.008333333457509676,0.0,1.3068713744481404,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7053788380826154,0.03380444169643448,0.035733346216908275,72,18,54,28,0,0.25,108,216,107.33333333333333,138.0,1463.2610171635945,3115810629.8150024,2.175407965977987,2,0.0003,3.0,0.39255449175834656,71.60705693562825,0.5576502482096354,0.4905950427055359,0.0016217089723795652,0.0,0.0,0.49891384442647296,0.055552948266267776,7.91854731241862,0.5042234659194946,7.9999799728393555,1.8916670083999634,0.9981632630030314,0.48775482177734375,1.0,0.35245706637700397,0.6666666666666666,0.13265464703241983,0.25,0.01493618885676066,1.0,0.08076161891222,0.6666666666666666,0.0,0.3333333432674408,0.6037290294965109,71.60201969742775,0.0028459333504239717,1.3718289534250896,0.989565392335256,0.989565392335256,0.008333333457509676,0.2733355561892192,0.8461495836575826,1.9586067994435628,18.0,0.29522600769996643
3,0.9733805855115255,0.9487929145495096,0.0,0.15051292379697165,0.14391730229059854,0.0,0.0,0.0,0.0,0.0,1.5677507718404133,0.0,0.011389577972068987,0.2847394493017247,0.1,0.0,0.0,1.0,0.710542301745085,0.03439740736030398,0.03640137282381233,72,18,54,28,0,0.25,108,216,108.0,140.66666666666666,12.293635050455729,249.14035034179688,2.6233396927515664,3,0.0003,3.0,0.4308800995349884,0.26736001173655194,0.5802726149559021,0.4945046901702881,0.0022563068196177483,0.0,0.0,0.5003870526949564,0.06389729554454486,7.880987962086995,0.5043379863103231,7.999978860219319,2.1218011379241943,0.9956066012382507,0.4707104067007701,1.0,0.2880013585090637,1.0,0.22788995504379272,0.5,0.08063213278849919,1.0,0.032599849005540214,1.0,0.9610915382703146,0.3333333432674408,0.6903995474179586,0.26767956217130023,0.004190733035405477,1.3828756014506023,0.9975338776906332,0.9975338776906332,0.0,0.2735356191794078,0.9631253480911255,2.653207540512085,18.0,0.45087645451227826
4,0.9277299443880717,0.9058697819709778,0.0,0.20312010745207468,0.13557563225428262,0.0,0.0,0.0,0.0,0.0,1.2086958090464275,0.0,0.014742077232416344,0.3685519308104086,0.1,0.0,0.0,1.0,0.7124337309476474,0.03423285414522778,0.036207888033837544,72,18,54,28,0,0.25,108,216,105.33333333333333,125.66666666666667,11.85190200805664,227.7656707763672,1.9551057815551758,4,0.0003,3.0,0.36368049184481305,0.2737991114457448,0.5038625697294871,0.5041593412558237,0.002738572501887878,0.0,0.0,0.5011804103851318,0.06681717062989871,7.93716303507487,0.5051383177439371,7.999976476033528,1.8246150811513264,0.997048536936442,0.48032325506210327,1.0,0.2623515824476878,1.0,0.14034177362918854,0.75,0.07692084461450577,1.0,0.02916253296037515,1.0,0.9634847442309061,0.3333333432674408,0.6032211383183798,0.2685315012931824,0.005405437666922808,1.3828938007354736,0.9975470105806986,0.9975470105806986,0.0,0.2745178242524465,0.8542064627011617,1.7390329043070476,18.0,0.2595877945423126
5,0.8707728385925293,0.8456917603810629,0.0,0.2971622049808502,0.13161243995030722,0.0,0.0,0.0,0.0,0.0,1.3356168270111084,0.0,0.017311372744595564,0.4327843186148891,0.1,0.0,0.0,1.0,0.7122128341064722,0.03423220224691882,0.036240427413216536,72,18,54,28,0,0.25,108,216,112.33333333333333,134.33333333333334,12.766819953918457,282.3975016276042,2.516399304072062,4,0.0003,3.0,0.46120686332384747,0.3028876781463623,0.6399266918500265,0.511881152788798,0.00219808549930652,0.0,0.0,0.5024945338567098,0.07626417030890782,7.961824099222819,0.5053081313769022,7.999981721242269,2.0619733730951944,0.9990952412287394,0.4939681887626648,1.0,0.2861681282520294,1.0,0.18697908520698547,1.0,0.11601019899050395,1.0,0.03290260210633278,1.0,0.9664970636367798,0.3333333432674408,0.6864855090777079,0.2991511325041453,0.005808094438786308,1.381302833557129,0.9963994026184082,0.9963994026184082,0.0,0.27719823519388836,0.9835015932718912,2.2053516705830893,18.0,0.37434227267901105
