epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean
1,1.0440436601638794,1.0435749292373657,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.68469737132759,0.032143244257492,0.03398161725989399,72,18,54,0,0,0.25,0,0,117.0,145.33333333333334,4082.460005760193,4993489764.827861,3.071601072947184,1,0.0003,3.0,0.5065653622150421,62.49289187788963,0.7486863136291504,0.4876883924007416,0.0003787462095109125,0.0,0.0,0.49991487463315326,0.05981255571047465,7.92875321706136,0.5047402779261271,7.999984582265218,1.4922508356127462,0.9971175392468771,0.480783353249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.680793046951294,62.492154071728386,0.000724573212210089,1.3698227405548096,0.9881182114283243,0.9881182114283243,0.009374999751647314,0.27512578169504803,0.9505972663561503,,,
2,0.9916477203369141,0.968670388062795,0.0,0.09081729501485825,0.12115852038065593,0.0,0.0,0.0,0.008333333457509676,0.0,1.2870082060496013,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7054409653191959,0.03380472128697706,0.035732035365377876,72,18,54,28,0,0.25,108,216,107.33333333333333,138.0,1463.2612164815266,3115810629.828659,2.174515167872111,2,0.0003,3.0,0.39255290230115253,71.60704038540523,0.5576502879460653,0.4906061788400014,0.0016217001248151064,0.0,0.0,0.49891271193822223,0.05554492399096489,7.918537139892578,0.5042194724082947,7.9999799728393555,1.8916701873143513,0.9981632630030314,0.48775482177734375,1.0,0.3525938391685486,0.6666666666666666,0.13271061579386392,0.25,0.014921583235263824,1.0,0.08079600458343823,0.6666666666666666,0.0,0.3333333432674408,0.6037290096282959,71.60200260082881,0.0028435143952568374,1.3718305428822835,0.9895665446917216,0.9895665446917216,0.008333333457509676,0.27332496643066406,0.8461470206578573,1.9532523949940999,24.0,0.3046837051709493
3,0.9724046587944031,0.9487452507019043,0.0,0.1504597266515096,0.14388763904571533,0.0,0.0,0.0,0.0,0.0,1.4751795927683513,0.0,0.01138669466612831,0.28466736665320774,0.1,0.0,0.0,1.0,0.7106527501656726,0.03440114814999737,0.03640131903140109,72,18,54,28,0,0.25,108,216,108.0,140.66666666666666,12.293943723042807,249.16315714518228,2.6243865489959717,3,0.0003,3.0,0.43087854981422424,0.2673100531101227,0.5802730520566305,0.4945204754670461,0.0022563377860933542,0.0,0.0,0.5003853042920431,0.063897921393315,7.880943298339844,0.5043257077534994,7.999978701273601,2.1217966079711914,0.9956066012382507,0.4707104067007701,1.0,0.28789109985033673,1.0,0.22803328931331635,0.5,0.08084111412366231,1.0,0.032533628245194755,1.0,0.9610695640246073,0.3333333432674408,0.6903989513715109,0.26762526233990985,0.004180443162719409,1.3828820784886677,0.9975385665893555,0.9975385665893555,0.0,0.2735154330730438,0.9631040294965109,2.4588093757629395,24.0,0.41728053490320843
4,0.9277095794677734,0.9058643380800883,0.0,0.20302374164263406,0.13555214802424112,0.0,0.0,0.0,0.0,0.0,1.207478364308675,0.0,0.014741435526329791,0.3685358881582448,0.1,0.0,0.0,1.0,0.712447537000221,0.034231640773925494,0.03620328279858442,72,18,54,28,0,0.25,108,216,105.33333333333333,125.66666666666667,11.85277271270752,227.79721069335938,1.955396294593811,4,0.0003,3.0,0.36367782950401306,0.2737045685450236,0.5038622121016184,0.5041783650716146,0.0027384559313456216,0.0,0.0,0.5011790990829468,0.06678565467397372,7.937179883321126,0.5051170190175375,7.999976634979248,1.8246140877405803,0.997048536936442,0.48032325506210327,1.0,0.26221420367558795,1.0,0.1405437191327413,0.75,0.07720557848612468,1.0,0.02913888916373253,1.0,0.963457465171814,0.3333333432674408,0.6032196283340454,0.26845693588256836,0.00538742480178674,1.3828998804092407,0.9975514014561971,0.9975514014561971,0.0,0.2745001018047333,0.8541752497355143,1.7695552508036296,24.0,0.2549252510070801
5,0.8710136413574219,0.8457166949907938,0.0,0.29708842436472577,0.13168595234553018,0.0,0.0,0.0,0.0,0.0,1.3569343090057373,0.0,0.017312303315394767,0.4328075828848692,0.1,0.0,0.0,1.0,0.7121852220013254,0.03423122345574123,0.036239340507801344,72,18,54,28,0,0.25,108,216,112.33333333333333,134.33333333333334,12.767070770263672,282.4258728027344,2.5166823466618857,4,0.0003,3.0,0.4612070818742116,0.30286139249801636,0.6399254004160563,0.5118962327639262,0.0021979264759769044,0.0,0.0,0.5024951100349426,0.07624170432488124,7.9618275960286455,0.5052790840466818,7.999982039133708,2.061985413233439,0.9990952412287394,0.4939681887626648,1.0,0.2860829134782155,1.0,0.18719027439753214,1.0,0.11637360354264577,1.0,0.03291996382176876,1.0,0.9664668639500936,0.3333333432674408,0.6864828666051229,0.2990751465161641,0.005804907064884901,1.381310264269511,0.9964046478271484,0.9964046478271484,0.0,0.2771913905938466,0.9834850231806437,2.2620910008748374,24.0,0.38505950570106506
