epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.0569455822308857,1.0479180018107097,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,1.3533304929733276,0.8960961898167928,0.04,1.0,0.1,0.0,0.0,1.0,0.7325629555997349,0.0408678468060185,0.04948043957865564,72,18,54,0,0,0.25,0,0,144.0,190.0,5197.6393845876055,22134260100.96126,3.6757848262786865,1,0.0003,3.0,0.8979755838712057,66.97697336475055,0.945403536160787,0.5107127328713735,0.0004388637316878885,0.0,0.0,0.49987857540448505,2.99106232325236,5.662748336791992,0.8960961898167928,5.668079217274983,5.669856707255046,0.013967613379160563,24.0,0.3715297778447469,0.08646491169929504,11.21165911356608,0.49889470140139264,11.313686688741049,2.096869455616494,0.9967434406280518,0.47828903794288635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.4305206934611003,66.97344903151195,0.001248844782821834,1.3690661589304607,0.9875724713007609,0.9875724713007609,0.009374999751647314,0.27927600344022113,1.2788628737131755
2,1.0085664590199788,0.9886407256126404,0.0,0.08969890077908833,0.15015888214111328,0.0,0.0,0.0,0.0,0.0,1.467039426167806,0.7473041216532389,0.04,1.0,0.1,0.0,0.0,1.0,0.7352827479567042,0.03489023879738036,0.03792323872053894,72,18,54,28,0,0.25,108,216,120.0,145.0,16.550241470336914,518.4132080078125,2.962195118268331,2,0.0003,3.0,0.7315848072369894,0.2683086097240448,0.663248876730601,0.5178491473197937,0.0014991121521840494,0.0,0.0,0.5006247162818909,3.3634910583496094,5.677911122639974,0.7473041216532389,5.673275788625081,5.671730359395345,0.015884351606170338,24.0,0.4377271334330241,0.09075178702672322,11.215642929077148,0.49912827213605243,11.31368096669515,2.5325469970703125,0.9943985144297282,0.4626561204592387,1.0,0.34655920664469403,0.6666666666666666,0.16595550378163657,0.25,0.013554212947686514,1.0,0.07877228409051895,0.6666666666666666,0.0,0.3333333432674408,1.279857834180196,0.26586894194285077,0.004406259084741275,1.3834848006566365,0.9979733030001322,0.9979733030001322,0.0,0.27212004860242206,1.1201205253601074
3,0.938853919506073,0.9193082849184672,0.0,0.15407182772954306,0.18902776638666788,0.0,0.0,0.0,0.0,0.0,1.3536619345347087,0.7989574273427328,0.011215678323702835,0.2803919580925709,0.1,0.0,0.0,1.0,0.7308786171857743,0.03371853607002856,0.035649480589794655,72,18,54,28,0,0.25,108,216,121.66666666666667,151.0,17.840113321940105,604.2380981445312,3.484039028485616,2,0.0003,3.0,0.8810844024022421,0.30569763978322345,0.8899728854497274,0.5319651365280151,0.0023511893038327494,0.0,0.0,0.5012322465578715,2.9921321868896484,5.676071643829346,0.7989574273427328,5.672529856363933,5.671349207560222,0.015462281492849192,24.0,0.5297005772590637,0.10000348091125488,11.223799069722494,0.5002959370613098,11.31368319193522,1.8700275539013091,0.9958854913711548,0.4725698033968608,1.0,0.29631661375363666,1.0,0.2022396276394526,0.5,0.09572463730971019,1.0,0.03430107732613882,1.0,0.9503200650215149,0.3333333432674408,1.4656718571980794,0.3052801688512166,0.009632197363922993,1.380352258682251,0.9957137107849121,0.9957137107849121,0.0,0.28401880462964374,1.2704706192016602
4,0.8426592548688253,0.8242937922477722,0.0,0.21245795488357544,0.14524020751317343,0.0,0.0,0.0,0.0,0.0,1.3670117060343425,0.573649009068807,0.014690306835704377,0.3672576708926094,0.1,0.0,0.0,1.0,0.7306715263971725,0.03385182843547197,0.03577943384129722,72,18,54,28,0,0.25,108,216,121.0,156.33333333333334,16.78761863708496,522.3747253417969,2.9341296752293906,2,0.0003,3.0,0.7292430202166239,0.3055482606093089,0.6662693421045939,0.5637058218320211,0.0037227324986209473,0.0,0.0,0.5020672877629598,3.0901684761047363,5.695555051167806,0.573649009068807,5.67401123046875,5.666830221811931,0.021165411919355392,24.0,0.372028390566508,0.11242449035247166,11.211410204569498,0.5013407071431478,11.313680648803711,2.844945748647054,0.9962647557258606,0.47509826223055523,1.0,0.2743043005466461,1.0,0.14944423735141754,0.75,0.1164311816294988,1.0,0.03001521434634924,1.0,0.9538680116335551,0.3333333432674408,1.2948484420776367,0.3054247597853343,0.01536733191460371,1.380790909131368,0.9960300922393799,0.9960300922393799,0.0,0.2822435796260834,1.1120260953903198
5,0.7384208838144938,0.7182880838712057,0.0,0.3228861391544342,0.1444362998008728,0.0,0.0,0.0,0.0,0.0,1.2563756306966145,0.5373310248057047,0.01720244564509686,0.43006114112742155,0.1,0.0,0.0,1.0,0.7264054561519772,0.03379783840811871,0.03566219990971369,72,18,54,28,0,0.25,108,216,119.66666666666667,149.33333333333334,18.137664159138996,582.2674967447916,3.0130087534586587,2,0.0003,3.0,0.8862942655881246,0.3595936993757884,0.8503421545028687,0.6085016131401062,0.006992510985583067,0.0,0.0,0.5038722157478333,2.65979274113973,5.698419094085693,0.5373310248057047,5.6663079261779785,5.655604521433513,0.02896837703883648,24.0,0.3222689429918925,0.12289945781230927,11.22173023223877,0.5036468307177225,11.313684463500977,3.8201962312062583,0.9973594546318054,0.48239580790201825,1.0,0.31162776549657184,1.0,0.18124321103096008,1.0,0.10065170129140218,1.0,0.0439242689559857,1.0,0.9583496451377869,0.3333333432674408,1.5111777782440186,0.35797372460365295,0.029877906044324238,1.379470944404602,0.9950779676437378,0.9950779676437378,0.0,0.28490601976712543,1.3074841499328613
