epoch,train_loss,train_auc,val_loss,val_auc
1,0.721394,,,0.772556
2,0.481601,,,0.777593
3,0.425972,,,0.776949
4,0.219114,,,0.779760
5,0.206822,,,0.780436
6,0.191623,,,0.782978
7,0.171245,,,0.782790
8,0.123175,,,0.782090
9,0.098437,,,0.783053
10,0.098034,,,0.782137
11,0.074263,,,0.782843
12,0.059145,,,0.782742
13,0.075390,,,0.782827
14,0.049064,,,0.782859
15,0.041743,,,0.782882
16,0.031210,,,0.782475
17,0.031489,,,0.782456
18,0.022456,,,0.782546
19,0.020166,,,0.782782
