epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio,diffusion_reconstruction_score,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean
1,0.80312050803233,0.8031187784873833,0.0,0.0,0.0,0.0,0.0,0.0,3.456653514334348e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7812154555436004,0.04559380908042473,0.045774255952952286,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.99766653675144,756.1817099361097,0.8357845686249814,1,0.0003,3.0,0.7807843079001217,0.36134127792665516,0.8876449698108738,0.6029946955583864,0.00724764441739831,0.0,0.0,0.5044400787959664,0.21791212349119832,11.263198981850834,0.5199642757237968,11.313685562651036,2.6517283997293246,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.235854138762264,0.36227922166808174,0.020523500853707476,1.3607641458511353,0.9815838377354509,0.9815838377354509,3.456653514334348e-05,0.3166184026305958,1.2352272696414237,,,,,,,,,,,,
2,0.8611211908065667,0.8569097124924094,0.0,0.08586165599398694,0.01545794838565891,0.0,0.0,1.9194443404434795e-05,4.3910561066310285e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7859698383499182,0.04683830779086502,0.047048181106692545,29652,7413,22239,11118,0,0.25,44478,88956,2531.4406779661017,3136.6271186440677,17.793640977245268,687.3845007944915,0.6626719862727796,2,0.0003,3.0,0.7151176262710054,0.3062173385741347,0.8885006682347443,0.7366893008603888,0.02192312868911836,3.3103813559322034e-05,1.9194443404434795e-05,0.5132870633723372,0.33969674423589546,11.274210380295576,0.5591157169665321,11.313682346020714,2.4929340653500316,0.9981826513500537,0.48788449420767316,1.0,0.3298422088057308,0.983050846447379,0.20912679928844258,0.25,0.1382925145454326,1.0,0.06296145934927261,0.983050846447379,0.9472947575278201,0.1581920951099719,1.126345189951234,0.3051350445060407,0.028143369734792385,1.3562028125181036,0.9782935158681061,0.9782935158681061,4.3910561066310285e-05,0.3237852353160664,0.9904617657095699,,,,,,,,,,,,
3,0.8513724925154347,0.8448858533875417,0.0,0.1691580005621506,0.013311815463890464,0.0,0.0,0.0007693444467958663,5.711501432677447e-06,0.13176177820916904,0.0,0.0,0.0,0.018376868186989297,0.4594217046747324,0.1,0.0,0.0,1.0,0.789999940064542,0.046841559121659604,0.04700147712008168,29652,7413,22239,11118,0,0.25,44478,88956,2537.6101694915255,3159.101694915254,18.943702277490647,810.971327959481,0.6995653348453974,3,0.0003,3.0,0.9716945189540669,0.3450058951216229,1.1950676198733055,0.9022624017828602,0.043470268216678654,0.0013572563559322035,0.0007693444467958663,0.5316221138178292,0.4072331755848254,11.27808048765538,0.6505398507845603,11.313686128390037,2.5550281920675504,0.998115864850707,0.4874392722622823,1.0,0.32439842971704774,0.9999999989897518,0.22084226572917678,0.5,0.12476009168362213,1.0,0.05750908431107715,0.9999999989897518,0.9964825642310967,0.1581920951099719,1.4081642264026706,0.34599371077650687,0.05784914288985527,1.3592369758476646,0.9804822014550031,0.9804822014550031,5.711501432677447e-06,0.3236395898511854,1.101805638458769,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,
4,0.833011096816952,0.8264038421339908,0.0,0.24480697790444908,0.010437296608747062,0.0,0.0,0.0005840842202167674,8.459007073986991e-05,0.06444517131579125,0.0,0.0,0.0,0.019337067662751277,0.48342669156878193,0.1,0.0,0.0,1.0,0.7888033377252273,0.0466954988876448,0.0468338825277167,29652,7413,22239,11118,0,0.25,44478,88956,2559.6101694915255,3200.2203389830506,18.278029102390096,684.6951262910487,0.6450995035090689,3,0.0003,3.0,0.8439434019185729,0.35828617316181377,1.0359518517882138,0.8696104621483107,0.046902858352257035,0.000960010593220339,0.0005840842202167674,0.5151905215392678,0.47309886954598507,11.273823091539287,0.7427604420710419,11.313682960251631,2.6157028311389987,0.998145771228661,0.4876386149454925,1.0,0.31549546147807167,0.9999999989897518,0.16084525645789455,0.75,0.14875983358439754,1.0,0.057431611216674415,0.9999999989897518,0.9957123065398912,0.1581920951099719,1.3408240281929404,0.3658413892075167,0.14460980601735035,1.352988932092311,0.9759752002813048,0.9759752002813048,8.459007073986991e-05,0.33123688627097564,1.0191150913804263,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,
5,0.8457629822068295,0.8314824175026457,0.0,0.32342022354319944,0.01059042397191969,0.0,0.0,0.0002944953456004071,8.720197612261874e-05,0.10757559436862751,1.9619785567461434,0.6533189062344826,0.0,0.021607967648276532,0.5401991912069133,0.1,0.0,0.0,1.0,0.7868005425015177,0.046174087304517206,0.046374656613638446,29652,7413,22239,11118,0,0.25,44478,88956,2549.9830508474574,3184.2033898305085,19.314037484637762,776.1480712890625,0.6980280936774561,3,0.0003,3.0,0.917314696109901,0.3849673675278486,1.1073575403730749,0.848961162365089,0.04535987398634523,0.000900299974985547,0.0002944953456004071,0.5028410048808082,0.48579217670327524,11.27395844863633,0.7937011355060642,11.313687130556268,2.5814465385372354,0.9980804758556818,0.4872032964633683,1.0,0.31185345730539094,0.9999999989897518,0.17919086374468723,1.0,0.12189608029389785,1.0,0.052144396481877665,0.9999999989897518,0.9964928980601035,0.1581920951099719,1.494234394218962,0.3952771394939746,0.17335952060707546,1.357795769885435,0.9794425994662915,0.9794425994662915,8.720197612261874e-05,0.323628773123531,1.1315975098286646,23.0,1.3333333333333333,23.0,0.2395833432674408,4.538883281966387,5.4703517525883045,0.6533189062344826,5.338336346513134,5.294331429368358,0.22172533850169787,376.93220338983053,0.6180306233591952
6,0.8303019949945353,0.8183827329490144,0.0,0.31572301610041476,0.006913552849979724,0.0,0.0,0.0002042554994459043,0.00019643473286246803,0.04714638954502041,1.443544159501286,0.726516212447215,0.0,0.02212954788832117,0.5532386972080292,0.1,0.0,0.0,1.0,0.7873630212078895,0.04597854204881025,0.04616188482794025,29652,7413,22239,11118,0,0.25,44478,88956,2550.9322033898306,3171.186440677966,18.766090457722292,730.8645185050318,0.6184565995709371,3,0.0003,3.0,0.7988753116736977,0.40161440534106757,0.984196784132618,0.8157660304489782,0.04870416994317103,0.0006951800847457627,0.0002042554994459043,0.4940015971660614,0.5481556749950021,11.271917989698506,0.847677749092296,11.313684689796577,2.555350348100824,0.9981549382209778,0.4876997541573088,1.0,0.3066908141313973,0.9999999989897518,0.12931682661933414,1.0,0.12727842896671618,1.0,0.05132724837226383,0.9999999989897518,0.9968470739106,0.1581920951099719,1.3887300006413863,0.41009167240837874,0.22288440016366667,1.3552125793392376,0.977579204712884,0.977579204712884,0.00019643473286246803,0.3228929881322182,0.9834611638117645,23.0,1.3333333333333333,23.0,0.2395833432674408,3.7502866922798805,4.084556603835801,0.726516212447215,3.9546648890285168,3.9113676669233937,0.4596896348363262,376.93220338983053,0.6183745446851698
7,0.8339200524960534,0.820963390802933,0.0,0.3207557403435141,0.007512868460962328,0.0,0.0,0.00035632523490753326,8.779943204051776e-05,0.08815861758539233,1.3631288520360396,0.7281156636900821,0.0,0.022831863585398043,0.5707965896349511,0.1,0.0,0.0,1.0,0.7898626139192084,0.04655573990884065,0.04669474151663981,29652,7413,22239,11118,0,0.25,44478,88956,2537.423728813559,3159.186440677966,19.679448855125298,816.7991157143803,0.7157431633795722,3,0.00015,3.0,0.9119968889123302,0.4161561424449339,1.099034776121883,0.8131792909007961,0.04936069584751533,0.0007678847207482589,0.00035632523490753326,0.48755306510602014,0.5435952337111457,11.274868480229783,0.8640357346858009,11.313688003410727,2.5687712653208585,0.9982039291979903,0.48802633911876353,1.0,0.3106443255634631,0.9999999989897518,0.1546982074693098,1.0,0.10797061455451835,1.0,0.04753007695583974,0.9999999989897518,0.9975103604591499,0.1581920951099719,1.5668302087460535,0.4274695899526952,0.273443667817924,1.3642939713041662,0.9841300592584125,0.9841300592584125,8.779943204051776e-05,0.3160178999779588,1.1358836889266968,23.0,1.3333333333333333,23.0,0.2395833432674408,3.6521091663231284,4.130924099582737,0.7281156636900821,3.9683957261554266,3.9142197027044783,0.536748044571634,376.93220338983053,0.6237764722209865
8,0.8125853235438719,0.8015080165054839,0.0,0.31051902750791127,0.005558765540688725,0.0,0.0,0.00011212671603770705,2.143031051056854e-05,0.040654754739696694,1.1082852290848555,0.690752746695179,0.0,0.022757602411229004,0.5689400602807251,0.1,0.0,0.0,1.0,0.783620102446044,0.044175573374131825,0.0443135119415026,29652,7413,22239,11118,0,0.25,44478,88956,2564.813559322034,3209.7966101694915,18.844636367539227,743.231797040519,0.7098089835401309,3,0.00015,3.0,0.7471245779829511,0.41390131843292105,0.9738385798567433,0.7832285994190281,0.045391847584712305,0.0003310381355932203,0.00011212671603770705,0.47496836670374465,0.5810361201480284,11.275058132106976,0.889308041435177,11.313684964584091,2.5842610536995583,0.998072292845128,0.48714877589274264,1.0,0.30244134543305734,0.9999999989897518,0.1146131741293406,1.0,0.12017083913087845,1.0,0.04694042815747908,0.9999999989897518,0.9978087332289097,0.1581920951099719,1.3748417526988659,0.42182445425098225,0.2908834938780736,1.3671969640052926,0.9862241300485902,0.9862241300485902,2.143031051056854e-05,0.3109501751802735,0.9785023271027258,23.0,1.3333333333333333,23.0,0.2395833432674408,3.1556875948178567,3.5710173582626603,0.690752746695179,3.2568084264205672,3.152072171033439,0.6808176525568558,376.93220338983053,0.6148701249542883
9,0.8221645981578504,0.8093237583920107,0.0,0.3192797853785046,0.006163637516862255,0.0,0.0,0.00014303019640264812,0.0001031895128061617,0.09286158973887815,1.2721923347246848,0.7019341446585574,0.0,0.023207339644032245,0.5801834911008061,0.1,0.09757531950652903,0.9757531950652903,1.0,0.7820536658978063,0.04338863963641588,0.04350616667061064,29652,7413,22239,11118,0,0.25,44478,88956,2549.322033898305,3178.8474576271187,19.597051135564254,797.4244250281382,0.7892767231343156,3,0.00015,3.0,0.867356020515248,0.42795455102193153,1.0806316056493985,0.8053996189165924,0.0478026802509518,0.00019862288135593222,0.00014303019640264812,0.47268034947120535,0.5869583628945432,11.27723559686693,0.8999912132651119,11.313687777115128,2.5599464602389577,0.9981359839439392,0.48757339635137786,1.0,0.30979212209329765,0.9999999989897518,0.14418315609632912,1.0,0.10141298793635126,1.0,0.04557010746103222,0.9999999989897518,0.998387546862586,0.1581920951099719,1.54924666477462,0.43674165768138434,0.3435911364474539,1.3629389051663674,0.9831525804632801,0.9831525804632801,0.0001031895128061617,0.31687771162744294,1.1749596494739338,23.0,1.3333333333333333,23.0,0.2395833432674408,3.4899347353789767,4.047394259501312,0.7019341446585574,3.777942730208575,3.6881256022695768,0.6392566622313807,376.93220338983053,0.6237367048101911
10,0.8014062754178451,0.7904262815491628,0.0,0.30973841073149344,0.004886951486943132,0.0,0.0,0.0001187418270323394,7.15654425868583e-05,0.03885601031578193,1.0731693607265667,0.6755158891112117,0.0,0.0229910664516333,0.5747766612908325,0.1,0.19392052219888886,0.9696026109944442,1.0,0.7852767716966812,0.04419978941854215,0.044340265890962106,29652,7413,22239,11118,0,0.25,44478,88956,2560.7966101694915,3206.7118644067796,18.980977009918732,736.1337363032972,0.7530052722510645,3,0.00015,3.0,0.7517491306288767,0.4334808037442676,0.9578522655923488,0.798013966972545,0.049720232075048706,0.00020511989023978426,0.0001187418270323394,0.4687644329111455,0.6001091700489238,11.274363533925202,0.906568066548493,11.313685433339264,2.5812096999863448,0.9980753043950614,0.48716881719686217,1.0,0.3021652259058871,0.9999999989897518,0.10735732304342722,1.0,0.1097059447507737,1.0,0.04410635155893988,0.9999999989897518,0.9981475512860185,0.1581920951099719,1.411837549532874,0.4365807700965364,0.4081232820527028,1.3619617971323303,0.98244775048757,0.98244775048757,7.15654425868583e-05,0.322255253286685,1.1031569616269257,23.0,1.3333333333333333,23.0,0.2395833432674408,3.08901252180843,3.588188345149412,0.6755158891112117,3.1894467766002075,3.056532981032032,0.7545631144006374,376.93220338983053,0.6300432823472104
