epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio,diffusion_proto_count,diffusion_proto_norm,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean
1,0.803121030330658,0.8031193007857113,0.0,0.0,0.0,0.0,0.0,0.0,3.456742094493751e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7812171044173497,0.04559171247309753,0.04577212733592932,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.99765693535239,756.1771840240996,0.8357816813355785,1,0.0003,3.0,0.7807819944317058,0.3613446875143859,0.8876444081128654,0.6029960149425572,0.0072473919540012284,0.0,0.0,0.504440151028714,0.21791255133131804,11.263199466769978,0.5199647586224443,11.313685514159122,2.651728874545986,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.2358498209613864,0.36228270298343596,0.020523712962423845,1.3607635619276661,0.9815834134311999,0.9815834134311999,3.456742094493751e-05,0.31662015793687204,1.2352238570229481,,,,,,,,,,,,,,,,
2,0.8632910029362824,0.8590594126006305,0.0,0.08576111697544486,0.015972201096809517,0.0,0.0,1.3190951672879884e-05,2.4305204703014785e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7861769231413891,0.04689307287420445,0.04711442805970045,29652,7413,22239,11118,0,0.25,44478,88956,2528.3728813559323,3135.864406779661,17.76862092745506,684.2251462774761,0.6531408686759108,2,0.0003,3.0,0.7079911130969807,0.30631582615739206,0.8777423016095566,0.726819288932671,0.02103990523176173,3.3103813559322034e-05,1.3190951672879884e-05,0.5117186105857461,0.3407809507038634,11.274598040823209,0.5592484959101273,11.313682135889085,2.4861669782864846,0.9981813521708472,0.487875834359961,1.0,0.32955860940076537,0.983050846447379,0.20731423972016674,0.25,0.13532469396368932,1.0,0.062402922218128785,0.983050846447379,0.9470932382648274,0.1581920951099719,1.1234654208361092,0.30545119865465975,0.029245526072079853,1.3562912476264823,0.9783573059712426,0.9783573059712426,2.4305204703014785e-05,0.3258055221226256,0.9939391471571841,,,,,,,,,,,,,,,,
3,0.8542127366793357,0.8478614435357562,0.0,0.16973234283722052,0.011581273402197886,0.0,0.0,0.0007596133667502111,5.2066086751992924e-05,0.12872770075070655,0.0,0.0,0.0,0.01837663542057258,0.45941588551431445,0.1,0.0,0.0,1.0,0.7899574312949595,0.04842306271710323,0.048680215759536655,29652,7413,22239,11118,0,0.25,44478,88956,2522.6101694915255,3123.0338983050847,18.874979762707728,768.1826792571504,0.6970114622075679,3,0.0003,3.0,0.9738242252398346,0.3456374386609611,1.1885998511718492,0.8822331893242011,0.044494255177550394,0.0011320266699008012,0.0007596133667502111,0.5308370085085853,0.41209696309041166,11.278135736109848,0.6518581226720648,11.313686144554008,2.514700000568972,0.9981295547242892,0.4875305971856845,1.0,0.3257532326851861,0.9999999989897518,0.21668181833574326,0.5,0.12424199927156254,1.0,0.057547280470193446,0.9999999989897518,0.9959766844571647,0.1581920951099719,1.4047441522953874,0.3468770177687629,0.06268310654213873,1.3509054830518819,0.9744723126039667,0.9744723126039667,5.2066086751992924e-05,0.33347744557817105,1.1146243244914684,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,,,
4,0.8461266079191434,0.8393635840739234,0.0,0.24714843701508085,0.01151603662361533,0.0,0.0,0.00037811490619787946,9.954753533946693e-05,0.06823440375974622,0.0,0.0,0.0,0.019339580333509764,0.48348950833774407,0.1,0.0,0.0,1.0,0.7883419644284873,0.04602609452940601,0.046152070939254775,29652,7413,22239,11118,0,0.25,44478,88956,2539.0169491525426,3151.423728813559,18.25784825470488,686.081823316671,0.6704774205967531,3,0.0003,3.0,0.8503207291586924,0.3536567470784915,1.0191238219455137,0.8630461490760415,0.04880435348062192,0.0008671961614262249,0.00037811490619787946,0.5149798726631423,0.4568531063653655,11.277407355227712,0.7371416788990215,11.313683218875173,2.5086838512097374,0.998139290486352,0.4875954536058135,1.0,0.31863276382624095,0.9999999989897518,0.16063350514840272,0.75,0.13686541568929866,1.0,0.05733624870999385,0.9999999989897518,0.9960090164410866,0.1581920951099719,1.3548635608058865,0.3601351087376223,0.14411746660026453,1.3551265971135285,0.9775172108310765,0.9775172108310765,9.954753533946693e-05,0.3312982234914424,1.0389303645845187,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,,,
5,0.8419468796859353,0.8298062631639384,0.0,0.3248045222233918,0.008756730516078108,0.0,0.0,0.0003500814979769668,4.184928304497034e-05,0.10745374024924585,1.8708353446701826,0.6535269224037559,0.0,0.021527522684772843,0.5381880671193211,0.1,0.0,0.0,1.0,0.789444228097333,0.04552300158289611,0.045666216198683274,29652,7413,22239,11118,0,0.25,44478,88956,2558.2881355932204,3203.830508474576,19.2473588070627,771.0045993610964,0.6707147157798379,3,0.0003,3.0,0.9442507907495661,0.3847583017106784,1.1019957449476598,0.8477750087188463,0.05049146497148579,0.0006620762711864406,0.0003500814979769668,0.5006105167380834,0.4974191759602498,11.279486413729392,0.8091835672572508,11.313686968916553,2.624139680700787,0.9980931908397351,0.4872880416401362,1.0,0.3134814000735849,0.9999999989897518,0.1744492041357493,1.0,0.12029514524896266,1.0,0.052013255150641424,0.9999999989897518,0.9965362690262876,0.1581920951099719,1.5558789665416135,0.3945433441865242,0.1829473601054337,1.3592906766018624,0.9805209434638589,0.9805209434638589,4.184928304497034e-05,0.3211554142378144,1.088739878040249,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.578680713297958,4.407516119843822,5.262212033448092,0.23381242782690725,5.282108064425194,0.6535269224037559,5.108949483451196,5.051230091159627,0.291742764807985,376.93220338983053,0.6180306233591952
6,0.834343862735619,0.8238103228100275,0.0,0.318249668610298,0.00892782211303711,0.0,0.0,0.0002548071342200767,2.90795285116597e-05,0.051745885004431516,1.330653970524416,0.6774053725145631,0.0,0.022049462896000162,0.551236572400004,0.1,0.0,0.0,1.0,0.7893480615251227,0.045890098336664124,0.046147947391053074,29652,7413,22239,11118,0,0.25,44478,88956,2552.186440677966,3175.728813559322,18.590041790978383,724.0213974774894,0.65686523156651,3,0.0003,3.0,0.8100301168732724,0.3806696145211236,0.9717305666309292,0.7920550754514791,0.05173867852505991,0.0007780246294529762,0.0002548071342200767,0.48693119721897576,0.5337543623932337,11.280289520651607,0.8412034046851983,11.31368428569729,2.574297478643514,0.998148827229516,0.4876589881161512,1.0,0.30866697354842043,0.9999999989897518,0.1388890802607698,1.0,0.12983107478436778,1.0,0.05276481055859792,0.9999999989897518,0.9966555874226457,0.1581920951099719,1.4527918282201735,0.3902260772252487,0.23051715680098128,1.3586823031053705,0.9800820916385974,0.9800820916385974,2.90795285116597e-05,0.3190166293564489,0.952234321731632,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.710125886787802,3.5594801660311424,3.9314504839612328,0.5593084431132189,4.0591780452404995,0.6774053725145631,3.753096245102963,3.6510690470873297,0.5953345566482867,376.93220338983053,0.6183745446851698
7,0.8391971679057105,0.827575156244181,0.0,0.3212661222886231,0.009666021597587456,0.0,0.0,0.00038087043676414856,6.134321790603404e-05,0.09068991673194755,1.3245742502859084,0.6711474394394179,0.0,0.02268534791636773,0.5671336979091932,0.1,0.0,0.0,1.0,0.7898349164726743,0.04637996615076326,0.046543417992509724,29652,7413,22239,11118,0,0.25,44478,88956,2543.813559322034,3171.593220338983,19.616218049647443,811.3312957246425,0.7552373535552267,3,0.00015,3.0,0.9263958092463218,0.39796875038389434,1.094546382710085,0.7835434877266318,0.05611686440090002,0.001059322033898305,0.00038087043676414856,0.476753182330374,0.5534082327858877,11.282134347042795,0.8733353372347556,11.313688003410727,2.5639215525934254,0.9981205796791335,0.4874706697666039,1.0,0.31068496532359363,0.9999999989897518,0.16282627466371505,1.0,0.1100965725668406,1.0,0.04879689039820331,0.9999999989897518,0.9968008500034526,0.1581920951099719,1.6350807880951186,0.4109746222778902,0.291361899951757,1.3570788492590695,0.9789254534042487,0.9789254534042487,6.134321790603404e-05,0.31645455400822525,1.0198244422169056,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.665995747356092,3.593606779130839,3.9022177387220043,0.6576117798189625,4.334043147200245,0.6711474394394179,3.968144271333339,3.8461781679573708,0.665507090293755,376.93220338983053,0.6237764722209865
8,0.8135536454491696,0.8035556704311048,0.0,0.31160895450640536,0.007457590709298344,0.0,0.0,0.00023116986020626026,0.0003265441973472677,0.03902372844138388,1.0977046732175149,0.647543131294897,0.0,0.022656400180113136,0.5664100045028284,0.1,0.0,0.0,1.0,0.7905075583672118,0.0472148517315191,0.04739755002441407,29652,7413,22239,11118,0,0.25,44478,88956,2551.5254237288136,3183.4745762711864,19.000872692819367,756.3618784759004,0.6579363947197542,8,0.00015,3.0,0.7638549471305589,0.3981142347141848,1.0079926050315469,0.7468163684263067,0.05322953616663561,0.0004685233441828671,0.00023116986020626026,0.46430389557854607,0.5655915090593241,11.280968973192119,0.8796174637341904,11.313685659634865,2.5954763606443243,0.9982236957145949,0.4881581835827585,1.0,0.30249700303805077,0.9999999989897518,0.13196553870783015,1.0,0.13511498032485025,1.0,0.05027351307414346,0.9999999989897518,0.9967567688327724,0.1581920951099719,1.441225411528248,0.4065297352055372,0.3073593585167901,1.3497142367443795,0.9736130106247077,0.9736130106247077,0.0003265441973472677,0.3250980149891417,0.9066918825699111,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.735400397898788,3.141873925419177,3.4043791077115575,0.821267066752021,3.8538082615803866,0.647543131294897,3.308417829416566,3.1266211089441334,0.844407614004814,376.93220338983053,0.6148701249542883
9,0.8219181299209595,0.8103855070421251,0.0,0.31767407665818426,0.007492621066206593,0.0,0.0,0.00031519857885402834,0.0002769073420749611,0.09338665109569744,1.265872886625387,0.6521795614291046,0.0,0.02307081376588587,0.5767703441471468,0.09313782209335364,0.09803111295209098,0.9803111295209097,0.0,0.7890073401217115,0.04622708501431897,0.04636286077631095,29652,7413,22239,11118,0,0.25,44478,88956,2556.728813559322,3192.186440677966,19.80917814222433,842.8153210656118,0.7590798584081359,8,0.00015,3.0,0.8724306225776672,0.4156003720679526,1.1219878035076594,0.7732302051479534,0.05340484738097352,0.0006023656529516487,0.00031519857885402834,0.46176049870959784,0.5851686627177869,11.28091889720852,0.8996050196178889,11.313688407510014,2.6059949882959916,0.998164312314179,0.4877622016405655,1.0,0.30756443031763625,0.9999999989897518,0.15501199485891956,1.0,0.10852230719085466,1.0,0.047180958218493704,0.9999999989897518,0.9975331445871773,0.1581920951099719,1.59610335705644,0.4248472558239759,0.3468035484774638,1.3490716420998008,0.973149472374027,0.973149472374027,0.0002769073420749611,0.3298724293708801,1.0970119359129566,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.732628830408645,3.4876682273412154,3.79291880489369,0.793585883151235,4.370469234757504,0.6521795614291046,3.876794313980361,3.7122361175084517,0.78351973173982,376.93220338983053,0.6237367048101911
10,0.7962712170714039,0.7864330592802016,0.0,0.3051312878980475,0.005144475880315748,0.0,0.0,0.0002415741280054721,0.0003522568292544871,0.04247503310947095,1.0659780259859764,0.6324205226817373,0.0,0.022912309670677082,0.5728077417669271,0.1,0.19504068107445272,0.9752034053722635,1.0,0.7847624852499746,0.04383085922337806,0.0439536678570675,29652,7413,22239,11118,0,0.25,44478,88956,2554.5593220338983,3202.0169491525426,19.182446916224592,773.0537947315281,0.7216197610911677,8,0.00015,3.0,0.7508105160826344,0.41777985580896926,0.9941993780055288,0.7487623711763802,0.05399684172313092,0.0004634533898305085,0.0002415741280054721,0.4535541837498293,0.6212474653276346,11.28078302286439,0.9156917808419567,11.313686144554008,2.5597767526820556,0.9980882012237937,0.4872548292248936,1.0,0.296743360616393,0.9999999989897518,0.12210147891004207,1.0,0.12380619820649341,1.0,0.04565704159312329,0.9999999989897518,0.9976067300570213,0.1581920951099719,1.4533576197543387,0.4226860085786399,0.4002286160396317,1.3466170925205037,0.9713788972062579,0.9713788972062579,0.0003522568292544871,0.340527878474381,1.0139842508202892,23.0,1.3333333333333333,23.0,0.2395833432674408,376.93220338983053,8.828007447517525,3.089516288143093,3.4019308019865133,0.9399380193602123,4.0145594790830454,0.6324205226817373,3.3258179042298917,3.096237465486688,0.9691255981639281,376.93220338983053,0.6300432823472104
