epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.9832034309705099,0.9758069316546122,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,1.385549823443095,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7298431632427657,0.03738692701817468,0.0434932781366235,72,18,54,0,0,0.25,0,0,144.0,190.0,5288.12292989095,22915094229.55147,3.476985216140747,1,0.0003,3.0,0.8928470810254415,70.44753738244374,0.9293784101804098,0.5142332911491394,0.00041480927999752265,0.0,0.0,0.49970874190330505,3.0931782722473145,24.0,0.378348429997762,0.08922576159238815,11.20968755086263,0.4987475375334422,11.313686688741049,2.1072342334664427,0.9967434406280518,0.47828903794288635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.4257777134577434,70.44274342060089,0.0012248826678842306,1.369050105412801,0.9875608682632446,0.9875608682632446,0.009374999751647314,0.28140955169995624,1.284671703974406
2,1.0085391799608867,0.9898844559987386,0.0,0.09089072545369466,0.16080584128697714,0.0,0.0,0.0,0.0,0.0,1.395763874053955,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7325629555997349,0.03540934736695247,0.03913654347222885,72,18,54,28,0,0.25,108,216,119.33333333333333,140.33333333333334,16.56928062438965,518.5973205566406,3.0165152549743652,2,0.0003,3.0,0.746985912322998,0.2722463309764862,0.6891490419705709,0.5256045858065287,0.0010448581112238269,0.0,0.0,0.5006531675656637,3.135597070058187,24.0,0.4537470539410909,0.091445987423261,11.211770375569662,0.4989749789237976,11.313680330912272,2.3744028011957803,0.994633674621582,0.4642244080702464,1.0,0.35121243198712665,0.6666666666666666,0.1670288344224294,0.25,0.0024778048197428384,1.0,0.07998040318489075,0.6666666666666666,0.0,0.3333333432674408,1.2860146760940552,0.27027493715286255,0.004626230802386999,1.3824328184127808,0.9972144961357117,0.9972144961357117,0.0,0.2780173122882843,1.1285940011342366
3,0.9729694922765096,0.9564015865325928,0.0,0.16142244140307108,0.16204522053400675,0.0,0.0,0.0,0.0,0.0,1.336115042368571,0.0,0.011058402228481555,0.27646005571203885,0.1,0.0,0.0,1.0,0.722926330903468,0.033808433927898604,0.036578261320636615,72,18,54,28,0,0.25,108,216,128.33333333333334,154.0,17.722623189290363,565.0020039876302,3.6712278922398887,2,0.0003,3.0,0.8435977498690287,0.30532942215601605,0.7805898189544678,0.5651721755663554,0.0026677672673637667,0.0,0.0,0.5016274849573771,2.941514253616333,24.0,0.37472406029701233,0.09913947184880574,11.244200388590494,0.4998902181784312,11.3136838277181,2.899815320968628,0.9962516824404398,0.4750111997127533,1.0,0.3109452823797862,1.0,0.19476245840390524,0.5,0.08387596035997073,1.0,0.04322950728237629,1.0,0.9459502895673116,0.3333333432674408,1.4693541924158733,0.3067457477251689,0.00950566865503788,1.378650705019633,0.9944863120714823,0.9944863120714823,0.0,0.2967526614665985,1.2913693984349568
4,0.7465776403745016,0.730110228061676,0.0,0.22367578744888306,0.13381993770599365,0.0,0.0,0.0,0.0,0.0,1.3114227453867595,0.0,0.014392685661471498,0.35981714153678745,0.1,0.0,0.0,1.0,0.7150154627788822,0.033612572882967505,0.036598283367836604,72,18,54,28,0,0.25,108,216,120.0,149.33333333333334,16.82318941752116,513.9251708984375,2.73543389638265,2,0.0003,3.0,0.7516785065333048,0.3217889964580536,0.6505707105000814,0.5981450080871582,0.006461359094828367,0.0,0.0,0.5025226871172587,2.838402032852173,24.0,0.3027666707833608,0.10752956817547481,11.18231455485026,0.5012655258178711,11.313673337300619,3.604280869166056,0.9974488615989685,0.48299217224121094,1.0,0.288842370112737,1.0,0.15155603984991708,0.75,0.10230965167284012,1.0,0.03628406083832184,1.0,0.9513377944628397,0.3333333432674408,1.3264446655909221,0.3207493821779887,0.023367368926604588,1.3724509080251057,0.9900140563646952,0.9900140563646952,0.0,0.3162057201067607,1.1427675088246663
5,0.7141386667887369,0.6934696435928345,0.0,0.3167370657126109,0.16012553373972574,0.0,0.0,0.0,0.0,0.0,1.477216641108195,0.0,0.01665938781529297,0.41648469538232424,0.1,0.0,0.0,1.0,0.7139385906781534,0.033838539615896536,0.036749130948144054,72,18,54,28,0,0.25,108,216,125.66666666666667,157.33333333333334,17.942721048990887,609.9741617838541,3.5375237464904785,2,0.0003,3.0,0.9150710503260294,0.3538687825202942,0.8652227322260538,0.6263469258944193,0.009466868825256824,0.0,0.0,0.503558615843455,3.521317640940348,24.0,0.4440741340319316,0.12102532635132472,11.217955907185873,0.5028759241104126,11.313685417175293,3.8391919136047363,0.9973298907279968,0.48219942053159076,1.0,0.3049187511205673,1.0,0.1967286765575409,1.0,0.13079725950956345,1.0,0.03963778373630097,1.0,0.9560088515281677,0.3333333432674408,1.524287223815918,0.3527081807454427,0.03197686870892843,1.3668423493703206,0.9859683314959208,0.9859683314959208,0.0,0.32414453228314716,1.3248270352681477
