epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.8944125639067756,0.8944122658835517,0.0,0.0,0.0,0.0,0.0,0.0,5.872832844033837e-06,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7471399422113211,0.03873790074119983,0.038837912510983785,29652,7413,22239,0,0,0.25,0,0,16417.222222222223,20869.88888888889,18.097132152981228,681.7392510308159,0.7664282917976379,1,0.0003,3.0,0.8085255357954237,0.31515228417184615,0.8507960902320014,0.5346159007814195,0.0021576942720760903,0.0,0.0,0.5011296570301056,0.09576724055740568,11.219994121127659,0.49976909822887844,11.313682874043783,2.6938086085849338,0.9982380138503181,0.48825354046291775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518519070413378,1.3187910053465102,0.3152800235483382,0.012036637946342429,1.3810062540902033,0.9961854285664029,0.9961854285664029,5.872832844033837e-06,0.2786271406544579,1.2394452227486505
2,0.9306771490308974,0.9239513542917039,0.0,0.08158579303158654,0.06924483511182997,0.0,0.0,0.0,2.755982677626889e-06,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7583148811258027,0.039797134454404845,0.03992624141425315,29652,7413,22239,11118,0,0.25,44478,88956,16319.0,20186.11111111111,17.713532553778755,651.558851453993,0.6530772050221761,2,0.0003,3.0,0.6589009894265069,0.318792012002733,0.7540883488125272,0.5656242171923319,0.005106791853904724,0.0,0.0,0.5027647813161215,0.11002380235327615,11.237271202935112,0.5020884739028083,11.313681708441841,2.395922581354777,0.998227854569753,0.48818595210711163,1.0,0.3149372140566508,0.8888888822661506,0.1712602459722095,0.25,0.07207488268613815,1.0,0.05685883801844385,0.8888888822661506,0.6634353995323181,0.18518519070413378,1.0765664378801982,0.3193844126330482,0.018064930931561522,1.3741909795337253,0.9912692573335435,0.9912692573335435,2.755982677626889e-06,0.3068235483434465,1.0995623932944403
3,0.88932822810279,0.8850056793954637,0.0,0.18105685214201608,0.026333418157365587,0.0,0.0,4.0371823059912356e-07,2.487968837764735e-05,0.0,0.0,0.0,0.0,0.016594698512932615,0.4148674628233153,0.1,0.0,0.0,1.0,0.7753029432539127,0.04350020252559787,0.04364548089141976,29652,7413,22239,11118,0,0.25,44478,88956,16272.0,20157.555555555555,18.11715422736274,680.1595798068577,0.44805580708715653,3,0.0003,3.0,0.7446278863483005,0.30466778410805595,0.8521095845434401,0.5631424254841275,0.006832339128272401,0.0,4.0371823059912356e-07,0.5017772052023146,0.1457844293779797,11.253083758884006,0.5052984555562338,11.313685099283854,2.418325318230523,0.9982651074727377,0.4884340796205733,1.0,0.3470587862862481,0.9999999933772616,0.24272242850727505,0.5,0.07395180563131969,1.0,0.05837600347068575,0.9999999933772616,0.9946638875537448,0.18518519070413378,1.2142729096942477,0.305041190650728,0.014936592429876328,1.3638822105195787,0.9838330480787489,0.9838330480787489,2.487968837764735e-05,0.34011796447965836,1.224118219481574
4,0.8757055070665147,0.8698324229982164,0.0,0.2676943639914195,0.02346900436613295,0.0,0.0,0.0,1.2815499859344627e-06,0.0,0.0,0.0,0.0,0.017555734804151762,0.43889337010379403,0.1,0.0,0.0,1.0,0.7777061618243357,0.04367767657473584,0.04381211209210071,29652,7413,22239,11118,0,0.25,44478,88956,16571.555555555555,20599.88888888889,17.54817008972168,655.8429022894966,0.535533090432485,4,0.0003,3.0,0.6748478809992472,0.31230025821261936,0.7832855184872946,0.6166434288024902,0.010372833969692389,0.0,0.0,0.5043501059214274,0.2178757306602266,11.260292900933159,0.5136853390269809,11.313681496514214,2.492055442598131,0.9982490605778165,0.48832715551058453,1.0,0.34341572721799213,0.9999999933772616,0.20956647727224562,0.75,0.10618280536598629,1.0,0.060635281519757375,0.9999999933772616,0.9949418968624539,0.18518519070413378,1.1159703731536865,0.31189658575587803,0.01902166733311282,1.3593023882971869,0.9805293811692132,0.9805293811692132,1.2815499859344627e-06,0.3489307396941715,1.0652807553609211
5,0.8710706233978271,0.86368727684021,0.0,0.3535148666964637,0.01283574104309082,0.0,0.0,2.435081114526838e-07,1.2721887388680545e-05,0.0,0.0,0.0,0.0,0.01906820749699684,0.476705187424921,0.1,0.0,0.0,1.0,0.7804882594091729,0.04348110472025276,0.04360533913420723,29652,7413,22239,11118,0,0.25,44478,88956,16576.666666666668,20542.333333333332,18.445587158203125,741.7051934136284,0.4687532087167104,5,0.0003,3.0,0.7957894537183974,0.3244187699423896,0.8925075266096327,0.662609749370151,0.01318351479454173,0.0,2.435081114526838e-07,0.5082737935913934,0.27121584945254856,11.267958535088432,0.5255036221610175,11.313685099283854,2.502502097023858,0.9980989164776273,0.4873261617289649,1.0,0.3386438555187649,0.9999999933772616,0.23943884174029031,1.0,0.09839832079079416,1.0,0.0579814033375846,0.9999999933772616,0.9960484438472323,0.18518519070413378,1.2977432674831815,0.3237352603011661,0.021721159625384543,1.3610326846440632,0.9817775355445014,0.9817775355445014,1.2721887388680545e-05,0.3417689535352919,1.1974806785583496
