epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,cold_start_context_signal_mean,cold_start_gate_max,cold_start_gate_mean,cold_start_gate_min,cold_start_support_count_mean,cold_start_zero_support_ratio,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.9140004714330038,0.9135968486467997,0.0,0.0,0.0,0.0,0.0,0.0,0.008072566857057003,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7753527538542634,0.5249149066265804,0.5161748427275142,936,234,702,0,0,0.25,0,0,1945.6666666666667,2175.1666666666665,28.868499755859375,75716.17325846355,7.090624849001567,1,0.0003,3.0,0.42567937076091766,0.046360708152254425,0.0205493342752258,0.002378363821965953,14.082765738169352,0.0,1.15586656332016,0.7371136347452799,1.3733489513397217,0.48713692526022595,0.002001629734877497,0.0,0.0,0.5010382831096649,0.1084355798860391,13.662484645843506,0.501699278752009,13.856365203857422,0.0005072314622035871,0.9953566988309225,0.46904472013314563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500000019868215,1.738403817017873,0.7385740329821905,0.08165105804800987,1.3648900588353474,0.9845600724220276,0.9845600724220276,0.008072566857057003,0.29386840760707855,1.7045850555102031
2,0.6731824378172556,0.6655362248420715,0.0,0.06578756247957547,0.08058388034502666,0.0,0.0,0.0,0.01971036967006512,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7744030738267313,0.5668978150438393,0.5575917168850887,936,234,702,621,0,0.25,1318,1533,2028.1666666666667,2265.1666666666665,30.4667870203654,112443.33980305989,5.618319392204285,1,0.0003,3.0,0.4231738845507304,0.043974348033467926,0.020075402533014614,0.0020695048345563314,14.937440554300943,0.0,1.0293095409870148,1.0197438647349675,1.288419892390569,0.521938219666481,0.005032783412995438,0.0,0.0,0.5019120971361796,0.1334844926993052,13.659733136494955,0.5056892434755961,13.856354713439941,0.0007008576115670925,0.9960093299547831,0.47339554131031036,1.0,0.25257692237695056,0.8333333333333334,0.17073755711317062,0.25,0.22888978322347006,1.0,0.04072905331850052,0.8333333333333334,0.3208203713099162,0.500000019868215,1.4937763214111328,1.0201607197523117,0.04874361182252566,1.328800638516744,0.9585270285606384,0.9585270285606384,0.01971036967006512,0.3339224656422933,1.5282484889030457
3,0.5652033140261968,0.5568752189477285,0.0,0.14597832535703978,0.09741190075874329,0.0,0.0,0.0,0.020903963760550443,0.0,0.0,0.0,0.016525006620152285,0.4131251655038071,0.1,0.0,0.0,1.0,0.7704344568309439,0.5625179706742585,0.5531841911742915,936,234,702,621,0,0.25,1318,1533,2138.0,2374.6666666666665,31.686757405598957,99700.6616007487,8.964488685131073,1,0.0003,3.0,0.42596006393432617,0.046521397307515144,0.01961532762895028,0.0021537807382022343,15.327634652455648,0.0,1.137017031510671,1.1572776933511097,1.479787031809489,0.5597890218098959,0.00800279543424646,0.0,0.0,0.5017898281415304,0.17117315530776978,13.667968591054281,0.5126822292804718,13.856370290120443,0.0006580397554595644,0.9962529838085175,0.475019892056783,1.0,0.2794727236032486,1.0,0.20373310397068659,0.5,0.3083579291899999,1.0,0.045945627614855766,1.0,0.980577806631724,0.500000019868215,1.5808867613474529,1.1565456787745159,0.09234567110737164,1.3143633206685383,0.9481127361456553,0.9481127361456553,0.020903963760550443,0.3441898077726364,1.6972371935844421
4,0.3181123062968254,0.31004759669303894,0.0,0.15468879168232283,0.08280361692110698,0.0,0.0,1.9216188472152378e-05,0.01840381883084774,0.0,0.0,0.0,0.0194093920592488,0.48523480148122,0.1,0.0,0.0,1.0,0.7752525582550283,0.5827803907928918,0.573394117545076,936,234,702,621,0,0.25,1318,1533,2001.0,2238.1666666666665,31.88545258839925,90332.39400227864,2.73203182220459,1,0.0003,3.0,0.4174770265817642,0.04386845168968042,0.02037261767933766,0.002214379453410705,14.166314601898193,0.0,1.0031501650810242,1.243174781401952,1.3256122469902039,0.5686309635639191,0.008534911243865887,0.0,1.9216188472152378e-05,0.49933985869089764,0.22632103661696115,13.679126421610514,0.5229346950848898,13.85635773340861,0.0006256732837452242,0.9964465101559957,0.47631024817625683,1.0,0.19740101943413416,1.0,0.1478415677944819,0.75,0.40398559470971424,1.0,0.029172545298933983,1.0,0.9825543860594431,0.500000019868215,1.3778870900472004,1.2375727494557698,0.16391362125674883,1.3364007274309795,0.9640093644460043,0.9640093644460043,0.01840381883084774,0.32383614281813305,1.4818010131518047
5,0.3365309114257495,0.32648832350969315,0.0,0.21089804420868555,0.08441763122876485,0.0,0.0,0.0,0.014743850727730509,0.0,0.0,0.0,0.024108887184864633,0.6027221796216158,0.1,0.0,0.0,1.0,0.776990734085236,0.5947123788526597,0.5852778920751296,936,234,702,621,0,0.25,1318,1533,2018.0,2244.8333333333335,33.12856419881185,95559.37337239583,23.96003266175588,5,0.0003,3.0,0.41866400341192883,0.04595053941011429,0.02003124449402094,0.00210719759343192,14.083035151163736,0.0,1.1250816980997722,1.3224974771340687,1.467639406522115,0.5664401849110922,0.011753326437125603,0.0,0.0,0.49747154613335925,0.26154328882694244,13.702650547027588,0.5319610039393107,13.856374581654867,0.0006223776338932415,0.9962781667709351,0.4751876890659332,1.0,0.20055491477251053,1.0,0.17567748328049979,1.0,0.43949807186921436,1.0,0.031185177620500326,1.0,0.9829496840635935,0.500000019868215,1.5420695344607036,1.309604028860728,0.39210371673107147,1.3471900423367817,0.9717921415964762,0.9717921415964762,0.014743850727730509,0.3123808602492015,1.6321043173472087
