epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,cold_start_context_signal_mean,cold_start_gate_max,cold_start_gate_mean,cold_start_gate_min,cold_start_support_count_mean,cold_start_zero_support_ratio,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.6674192994832993,0.6641350284670339,0.0,0.0,0.0,0.0,0.0,2.0127374062378127e-06,0.01611849996455324,0.0,1.9485636227058643,0.5295834378762678,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7720306846154406,0.569456619925553,0.560612402801905,16084,4021,12063,0,0,0.25,0,0,6346.666666666667,7113.878787878788,31.258439324118875,105708.15806255919,7.9846094503547205,1,0.0003,3.0,0.41280891407619824,0.04654032669284127,0.01951858920581413,0.0016372970545269322,14.599276253671357,0.0,1.168367609833226,1.282837427926786,1.4299185745643848,0.6356099925257943,0.013400049601455756,0.0,2.0127374062378127e-06,0.5027293752540242,5.517470013011586,6.658119217342657,0.3362697514937254,7.041777235088927,0.5295834378762678,6.4498757738055605,6.252575498638731,0.554739212081062,365.54545454545456,0.6320907527750189,0.20041075145656412,13.676678397438742,0.5182727123751785,13.856368440570254,0.0006650075198249948,0.9956786867344019,0.47119142882751697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,1.7112726478865652,1.2765830294652418,0.295973155986179,1.3357158827059197,0.9635153214136759,0.9635153214136759,0.01611849996455324,0.33086411971034424,1.682348612583045
2,0.6752396523952484,0.6678875644098629,0.0,0.05006379854272713,0.039447596578887016,0.0,0.0,0.0,0.028004175538874486,0.0,1.5031911351464011,0.4737516361655611,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.776472165962875,0.5968385469513481,0.5879636383910478,16084,4021,12063,10704,0,0.25,23262,27652,6343.939393939394,7113.818181818182,35.57832030094031,117622.63946348248,23.74480525110707,2,0.0003,3.0,0.414226158098741,0.044896327072020736,0.020116276587500717,0.001668381707559368,14.669181390242143,0.0,0.908115925210895,1.5580525687246611,1.3814363985350637,0.42968738169381115,0.015587493607943708,0.0,0.0,0.48468884554776276,4.654855049017704,5.788627502840248,1.418673526860337,7.896771243124297,0.4737516361655611,5.7151617570356885,4.987958763584946,1.6071349021160242,365.54545454545456,0.6275313912015973,0.27952973093047284,13.645394440853234,0.5323161085446676,13.856357025377678,0.000782763254722919,0.9957441001227407,0.4716275216955127,1.0,0.1911059891184171,0.969696966084567,0.14783418630108688,0.25,0.47617220517360803,1.0,0.035149886159960064,0.969696966084567,0.8692418318806272,0.4848484992980957,1.2076674519163189,1.5625636234427944,0.16360010003501718,1.3207944017468076,0.9527517647454233,0.9527517647454233,0.028004175538874486,0.3410008450349172,1.1217887004216511
3,0.4930184126803369,0.4867467315811099,0.0,0.09520706195722926,0.018520880829204212,0.0,0.0,0.0,0.02598460677704266,0.0,1.4114672920920632,0.45824789639675256,0.0,0.022862736452061605,0.5715684113015401,0.1,0.0,0.0,1.0,0.7748239039794995,0.5467521809265457,0.5379577348659588,16084,4021,12063,10704,0,0.25,23262,27652,6247.242424242424,6980.0,35.29760464754972,87875.28671357126,8.955932322776679,2,0.0003,3.0,0.412120085774046,0.04837124456058849,0.020641102653109665,0.0017941183601082726,14.366694045789314,0.0,1.0015766783194109,1.3288322723273076,1.5852412093769421,0.3456447675372615,0.01868561940324126,0.0,0.0,0.46895632328409137,4.457844553571759,5.705385880321858,1.6126855041511001,7.915798273953524,0.45824789639675256,5.630694476040927,4.868993318442143,1.614036950198087,365.54545454545456,0.6149774681438099,0.38845052592682117,13.676729722456498,0.5759401050480929,13.856373324538723,0.0007452889006923546,0.9957927862803141,0.47195206447081134,1.0,0.1798131542675423,0.9999999963875973,0.17945471541448074,0.5,0.527902625726931,1.0,0.03256468932059678,0.9999999963875973,0.9913849198456967,0.4848484992980957,1.3183878840822163,1.3306055683078188,0.19079232757741754,1.3232100949142918,0.9544943083416332,0.9544943083416332,0.02598460677704266,0.34004391504056525,1.1680289579160286
4,0.22959927740422162,0.22376407728050696,0.0,0.09723887231313821,0.009478543743942722,0.0,0.0,0.0,0.025265178720777232,0.0,1.1348279678460322,0.4491672452652093,0.0,0.025854046999886384,0.6463511749971595,0.1,0.0,0.0,1.0,0.7797196116718196,0.6246566848044466,0.6157595707707193,16084,4021,12063,10704,0,0.25,23262,27652,6342.969696969697,7090.575757575758,33.379193566062234,41330.64147209399,2.4002235947233257,4,0.0003,3.0,0.41338697346774017,0.04630620168014006,0.020928445921251267,0.0018045365895059976,14.576015790303549,0.0,0.8992882063894561,1.1034441499999075,1.5555748506025835,0.29774468234091095,0.023252132659157116,0.0,0.0,0.461311731374625,3.813236547238899,5.005201708946548,2.118526670970825,8.201825127457127,0.4491672452652093,4.771791501478716,3.6284469618941797,2.366150397242922,365.54545454545456,0.603453354402022,0.5608793542240605,13.690047697587447,0.6816685994466146,13.856364914865205,0.0006352181689263406,0.9958400563760237,0.4722671951308395,1.0,0.12183724772749525,0.9999999963875973,0.13546675353339224,0.75,0.631042809197397,1.0,0.020824930630624294,0.9999999963875973,0.9911244294860146,0.4848484992980957,1.0589020216103755,1.1025618983037544,0.1453897338924986,1.3289745865446148,0.9586525053688975,0.9586525053688975,0.025265178720777232,0.336405977155223,0.8599458680008397
5,0.2347723272713748,0.22696780052148935,0.0,0.14001883961486095,0.010930335882938269,0.0,0.0,1.739645129859899e-05,0.024105836774017946,0.0,1.2328482541170986,0.43914127259543445,0.0,0.03127427867040318,0.7818569667600794,0.1,0.0,0.0,1.0,0.639652485541101,0.17551316644524229,0.06695248146601336,16084,4021,12063,10704,0,0.25,23262,27652,6336.151515151515,7116.151515151515,35.109395923036516,39622.75503447562,3.4023612972461814,4,0.0003,3.0,0.41337167945775116,0.04992165822874416,0.021453190425580197,0.001776065695043089,14.533748857902758,0.0,1.0262529542951873,1.1554580782399033,1.7538052652821396,0.24543734752770627,0.028876232999292286,0.0,1.739645129859899e-05,0.4536634295275717,4.1494300220951885,5.073153734046936,2.2571705932826776,8.405024774146803,0.43914127259543445,5.185920816479308,4.112886190414429,2.173439972328417,365.54545454545456,0.6347350731040492,0.7460382418199019,13.702656861507531,0.804151840282209,13.856376792445328,0.0006515025681547934,0.9957097985527732,0.47139880332079803,1.0,0.13062980206626834,0.9999999963875973,0.1654407659714872,1.0,0.6046640159505786,1.0,0.022339967192348206,0.9999999963875973,0.9921770420941439,0.4848484992980957,1.1622087052374175,1.1532150127670981,0.16658772121776233,1.3242705590797192,0.9552592851898887,0.9552592851898887,0.024105836774017946,0.34048622936913464,1.0391699455001138
6,0.19696775552901355,0.19119551529486975,0.0,0.10263884857748494,0.004918255589225076,0.0,0.0,2.5319073329504164e-08,0.01545795754204984,0.0,1.0037828412922947,0.42381542830756214,0.0,0.03240321872647191,0.8100804681617977,0.1,0.0,0.0,1.0,0.780420037178295,0.6223749392249187,0.6134856036702124,16084,4021,12063,10704,0,0.25,23262,27652,6251.363636363636,6978.636363636364,34.17607567527077,16195.775845614347,3.9140761603008616,6,0.0003,3.0,0.41118508306416596,0.04807871026974736,0.02182133947357987,0.0019038289672497547,14.363925326954234,0.0,0.9302748712626371,1.0596730383959683,1.6393078348853372,0.21246889052969037,0.03206091125806173,0.0,2.5319073329504164e-08,0.4479986411152464,3.5276333274263325,4.718688155012599,2.6456782846488367,8.802985913825758,0.42381542830756214,4.481103897094727,3.040476603941484,2.812762650576505,365.54545454545456,0.6210592560695879,0.8369751337802771,13.721831957499186,0.8631319204966227,13.856370030027447,0.0005484431317061976,0.9959092302755876,0.4727283734263796,1.0,0.09554916733142102,0.9999999963875973,0.12509041076356714,1.0,0.7139607523426865,1.0,0.016703222497281702,0.9999999963875973,0.9929380272374009,0.4848484992980957,0.9896887775623437,1.0613744728492969,0.19752169468186118,1.3364151499488137,0.9640197320417925,0.9640197320417925,0.01545795754204984,0.3382111390431722,0.8535357551141218
7,0.1917536248537627,0.1851725119984511,0.0,0.11074518412351608,0.009078816934065386,0.0,0.0,0.00017022155225276947,0.016299675612765095,0.0,1.1425232815020012,0.42474060799136304,0.0,0.03366197694576147,0.8415494236440368,0.1,0.0,0.0,1.0,0.7796333712764143,0.6211086755820119,0.6122163080328994,16084,4021,12063,10704,0,0.25,23262,27652,6369.090909090909,7128.909090909091,35.374613444010414,14845.095532966383,3.354533710262992,6,0.0003,3.0,0.41375168887051667,0.05124721213272124,0.021995789738315525,0.0018191493335038874,14.70418762438225,0.0,0.9934097438147573,1.128583935174075,1.7849536592310125,0.1964329986861258,0.029816000694126793,0.0,0.00017022155225276947,0.43194441000620526,3.9417273420276064,4.871820875514776,2.5656318185565152,8.79052566759514,0.42474060799136304,5.026072863376502,3.771255348667954,2.444279735738581,365.54545454545456,0.6259427233175798,0.9011981938824509,13.730927871935295,0.9476122531023893,13.856380751638701,0.0005675018165316997,0.995831038012649,0.4722071208737113,1.0,0.10198841751976447,0.9999999963875973,0.1574080613526431,1.0,0.6844733393553531,1.0,0.01772728896078964,0.9999999963875973,0.9934285824949091,0.4848484992980957,1.0585446068734834,1.128284297206185,0.2233697803634586,1.3361369407538213,0.9638190594586459,0.9638190594586459,0.016299675612765095,0.33446820215745404,0.9594440153150847
8,0.13056913537509512,0.12574369076526526,0.0,0.08192221064007643,0.00548771114060373,0.0,0.0,0.0,0.008851665880876792,0.0,0.9280596447713447,0.4130513993176547,0.0,0.03378040258242798,0.8445100645606995,0.1,0.0,0.0,1.0,0.7821526208597542,0.5552088128216156,0.5465198066497331,16084,4021,12063,10704,0,0.25,23262,27652,6318.575757575758,7068.363636363636,35.24697309551817,7705.949640447443,1.9489503159667507,8,0.0003,3.0,0.41092206131328235,0.049102684765151054,0.02235600154734019,0.0019103123411310442,14.519820589007754,0.0,0.8457705324346368,1.1253404328317353,1.634096207040729,0.15805835457462253,0.025926590784255302,0.0,0.0,0.4177753473773147,3.3391862204580596,4.369997388703922,2.7787630395077416,8.844881577925248,0.4130513993176547,4.151891455505833,2.5875614989887583,2.970610423521562,365.54545454545456,0.6181727503285264,1.0227504751899026,13.751918012445623,0.9668159755793485,13.85637514518969,0.0005433061168966533,0.9958593068700848,0.47239545529538934,1.0,0.07537530091675845,0.9999999963875973,0.11857528871659076,1.0,0.7594423203757314,1.0,0.012362903717792395,0.9999999963875973,0.9939287539684412,0.4848484992980957,0.9153167352531896,1.1302860903017449,0.31062800234014337,1.3440575419050274,0.9695325728618738,0.9695325728618738,0.008851665880876792,0.330335919604157,0.7517620036096284
9,0.14241370558738708,0.13711038401181047,0.0,0.09102952999599052,0.006289738597291888,0.0,0.0,5.345436820238264e-05,0.0065065199305536225,0.0,1.0887983838717143,0.4138738955512191,0.0,0.034668371531922065,0.8667092882980516,0.09338435833983526,0.09450916657378206,0.9450916657378206,0.0,0.7273496771337328,0.18467788436218588,0.09354604293049491,16084,4021,12063,10704,0,0.25,23262,27652,6329.69696969697,7085.242424242424,36.237377629135594,5767.662131569602,2.2027513023578758,8,0.0003,3.0,0.4126074503768574,0.05241845864238161,0.022638236539381924,0.0017551525150228179,14.762776548212225,0.0,0.959062352324977,1.1390965960242532,1.7818837852189036,0.19307781846234293,0.026743592525070362,0.0,5.345436820238264e-05,0.41470366264834546,3.783100821755149,4.7421551883774775,2.781279640848828,9.225727485887932,0.4138738955512191,4.961301529046261,3.5398263859026358,2.7055188236814556,365.54545454545456,0.6031629036773335,1.0115041281237747,13.750999941970363,0.976419600573453,13.856383381467877,0.0005421947624365038,0.9959503159378514,0.4730022070985852,1.0,0.08305209333246405,0.9999999963875973,0.14541054313833063,1.0,0.7128232970382228,1.0,0.014138185560251728,0.9999999963875973,0.9941800706314318,0.4848484992980957,1.0410518790736343,1.1426050374002168,0.28738036209886725,1.3437638210527825,0.9693206801558986,0.9693206801558986,0.0065065199305536225,0.3343222177389896,0.9350034450039719
10,0.09771121902899309,0.09378877236987605,0.0,0.06936216817209215,0.0037298780499082623,0.0,0.0,1.1142572585606214e-05,0.0007182834175237627,0.0,0.8845781431053624,0.4069605821912939,0.0,0.03470745815743959,0.8676864539359899,0.1,0.1882938276049409,0.9414691380247044,1.0,0.7829054570983318,0.6410135891326577,0.6321153183658744,16084,4021,12063,10704,0,0.25,23262,27652,6336.848484848485,7083.30303030303,36.7724837100867,5420.532611268939,1.210057898904338,10,0.0003,3.0,0.4129709872332486,0.05111049205967874,0.023269045307780758,0.002130419111133299,14.518087589379514,0.0,0.8309718081445405,1.1894223112048525,1.6288180423505378,0.20582730706894037,0.025273322748641174,0.0,1.1142572585606214e-05,0.4009421603246169,3.241936633081147,4.334668340357072,3.138819964510542,9.521989706790809,0.4069605821912939,4.164078322323886,2.378107872876254,3.3453812165693804,365.54545454545456,0.622305385091088,1.059016794869394,13.759125796231357,0.9819359345869585,13.856380491545707,0.000554290530448215,0.9958803328600797,0.47253573843927094,1.0,0.0632263890495806,0.9999999963875973,0.1125072617874001,1.0,0.7916821440060934,1.0,0.010208315018451574,0.9999999963875973,0.9949294726053873,0.4848484992980957,0.8598633715600679,1.1923737200823696,0.3867341605099765,1.3624027317220515,0.9827658245057771,0.9827658245057771,0.0007182834175237627,0.32370628371383203,0.7373431812633168
