epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.0777340233325958,1.076915035645167,0.0,0.0,0.0,0.0,0.0,0.0,0.01637991814641282,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.763823962602459,0.3371374155561215,0.3237654453461429,868,217,651,0,0,0.25,0,0,1854.8333333333333,2065.3333333333335,35.26059532165527,287211.0362345378,12.328492879867554,1,0.0003,3.0,1.0932107369105022,1.2128963023424149,1.255240519841512,0.5084813932577769,0.002665281295776367,0.0,0.0,0.5001145849625269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000099341074,1.6073683897654216,1.2169847041368484,0.08224593785901864,1.3475856979688008,0.9720776081085205,0.9720776081085205,0.01637991814641282,0.3153825104236603,1.9069459835688274
2,1.0183345278104146,1.0167737007141113,0.0,0.0,0.0,0.0,0.0,0.0,0.031216514607270558,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.74499178193306,0.42933901728201496,0.4229286187643242,868,217,651,529,0,0.25,1302,1610,1946.3333333333333,2154.3333333333335,38.75504938761393,413260.0352376302,17.158924798170727,1,0.0003,3.0,0.8986059625943502,1.5645336012045543,1.0323210159937541,0.5060794204473495,0.004813898354768753,0.0,0.0,0.49942270914713544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000099341074,1.329738736152649,1.5681184381246567,0.11836316219220559,1.3239290912946065,0.9550129373868307,0.9550129373868307,0.031216514607270558,0.33378326892852783,1.5831552346547444
3,1.1092446148395538,1.103010485569636,0.0,0.08537922178705533,0.07164208094278972,0.0,0.0,0.0,0.032549775089137256,0.0,0.0,0.0,0.012,0.4,0.1,0.0,0.0,1.0,0.7414137209699454,0.3734408190554657,0.3709089282874882,868,217,651,529,0,0.25,1302,1610,1911.6666666666667,2108.0,40.584197362264,487572.27966308594,43.70848447084427,1,0.0003,3.0,1.055175006389618,1.5901438544193904,1.259871482849121,0.5087350706259409,0.004723113534661631,0.0,0.0,0.5004643003145853,1.0,0.3286941995223363,0.8333333333333334,0.20713963359594345,0.25,0.08046191434065501,1.0,0.04931396866838137,0.8333333333333334,0.31922073165575665,0.5000000099341074,1.5067617297172546,1.5906977156798046,0.20231589674949646,1.3132399916648865,0.9473024010658264,0.9473024010658264,0.032549775089137256,0.34913216531276703,1.8240437308947246
4,0.5408906042575836,0.5340684726834297,0.0,0.16431397323807082,0.08087832729021709,0.0,0.0,0.0,0.01942101034122364,0.0,0.0,0.0,0.010998206616930229,0.36660688723100765,0.1,0.0,0.0,1.0,0.7462618468237705,0.5185191953903628,0.5110324796965403,868,217,651,529,0,0.25,1302,1610,1907.5,2121.3333333333335,31.169881184895832,177424.37953694662,7.537551750739415,1,0.0003,3.0,0.9080319702625275,1.2052380442619324,1.1563960909843445,0.5562324772278467,0.00701159262098372,0.0,0.0,0.5024164716402689,1.0,0.3179419164856275,1.0,0.16853093604246774,0.5,0.16999128585060438,1.0,0.045189604784051575,1.0,0.9764475723107656,0.5000000099341074,1.2018716931343079,1.2009652107954025,0.2898879138131936,1.343031366666158,0.9687923093636831,0.9687923093636831,0.01942101034122364,0.3058105856180191,1.5256352027257283
5,0.7217519034941992,0.7115744004646937,0.0,0.2595103879769643,0.10474607348442078,0.0,0.0,3.6317622289061546e-05,0.033013690379448235,0.0,0.0,0.0,0.012661781426412718,0.42205938088042394,0.1,0.0,0.0,1.0,0.7425050162226776,0.352292274254343,0.3492921257657863,868,217,651,529,0,0.25,1302,1610,1880.3333333333333,2074.5,35.45405197143555,221554.17842610678,13.073729674021402,1,0.00015,3.0,1.067144860823949,1.6868266363938649,1.300421933333079,0.6149223248163859,0.00969347714756926,0.0,3.6317622289061546e-05,0.5044156710306803,1.0,0.33244889229536057,1.0,0.22318054487307867,0.75,0.19943977147340775,1.0,0.0481184646487236,1.0,0.9772278666496277,0.5000000099341074,1.430258055528005,1.673334687948227,0.5255540311336517,1.3126958012580872,0.9469098548094431,0.9469098548094431,0.033013690379448235,0.3418310731649399,1.859203000863393
