group,setting,dataset,dataset_key,best_epoch,trained_epochs,epoch_metrics_path,train_log_path,curve_path,summary_path
progressive,TRGT + Bridge + Drift Expert,XinYe DGraph,xinye_dgraph,5,15,experiment/outputs/studies/progressive/trgt_bridge_drift/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift/xinye_dgraph/summary.json
progressive,TRGT + Bridge + Drift Expert,Elliptic Transactions,elliptic_transactions,7,17,experiment/outputs/studies/progressive/trgt_bridge_drift/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift/elliptic_transactions/summary.json
progressive,TRGT + Bridge + Drift Expert,Elliptic++ Transactions,ellipticpp_transactions,18,28,experiment/outputs/studies/progressive/trgt_bridge_drift/ellipticpp_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift/ellipticpp_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift/ellipticpp_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift/ellipticpp_transactions/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory,XinYe DGraph,xinye_dgraph,5,15,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/xinye_dgraph/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory,Elliptic Transactions,elliptic_transactions,1,11,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/elliptic_transactions/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory,Elliptic++ Transactions,ellipticpp_transactions,8,18,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/ellipticpp_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/ellipticpp_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/ellipticpp_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype/ellipticpp_transactions/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory + Pseudo-Contrastive,XinYe DGraph,xinye_dgraph,6,16,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/xinye_dgraph/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory + Pseudo-Contrastive,Elliptic Transactions,elliptic_transactions,4,14,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/elliptic_transactions/summary.json
progressive,TRGT + Bridge + Drift Expert + Prototype Memory + Pseudo-Contrastive,Elliptic++ Transactions,ellipticpp_transactions,18,28,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/ellipticpp_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/ellipticpp_transactions/seed_42/train.log,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/ellipticpp_transactions/seed_42/training_curves.png,experiment/outputs/studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/ellipticpp_transactions/summary.json
supplementary,XinYe Joint Train on Phase1+Phase2 with Phase1 Validation,XinYe DGraph,xinye_dgraph,5,15,experiment/outputs/studies/supplementary/xinye_phase12_joint_train_phase1_val/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/supplementary/xinye_phase12_joint_train_phase1_val/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/supplementary/xinye_phase12_joint_train_phase1_val/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/supplementary/xinye_phase12_joint_train_phase1_val/xinye_dgraph/summary.json
supplementary,XinYe Phase-Aware Balanced Joint Training,XinYe DGraph,xinye_dgraph,7,17,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_balanced/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_balanced/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_balanced/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_balanced/xinye_dgraph/summary.json
supplementary,XinYe Phase-Aware DualVal Joint Training,XinYe DGraph,xinye_dgraph,7,17,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_dualval/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_dualval/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_dualval/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/supplementary/xinye_phase12_phase_aware_dualval/xinye_dgraph/summary.json
