suite,dataset,dataset_key,run_name,train_auc,val_auc,val_pr_auc,val_ap,best_epoch,cold_start_residual,teacher_guidance_enabled,summary_path,epoch_metrics_path
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,0.8605939487354879,0.7904545115949035,0.04584276996652624,0.04599849371477727,7.0,off,false,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/summary.json,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv
thesis_m8_utgt_deploy_pure_eppcold_v1,Elliptic Transactions,elliptic_transactions,probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1,0.9789023232878479,0.821329087693758,0.43222118101502494,0.3963400727759581,4.0,off,false,experiment/outputs/elliptic_transactions/training/models/m8_utgt/probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/summary.json,experiment/outputs/elliptic_transactions/training/models/m8_utgt/probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/epoch_metrics.csv
thesis_m8_utgt_deploy_pure_eppcold_v1,Elliptic++ Transactions,ellipticpp_transactions,probe_epp_m8_pure_ap96_hybrid120_timew_hl20_f035_coldctx_v1,0.997473049266909,0.821953270227715,0.4714522922359692,0.43859615367467997,7.0,context_conditioned_0.35,false,experiment/outputs/ellipticpp_transactions/training/models/m8_utgt/probe_epp_m8_pure_ap96_hybrid120_timew_hl20_f035_coldctx_v1/summary.json,experiment/outputs/ellipticpp_transactions/training/models/m8_utgt/probe_epp_m8_pure_ap96_hybrid120_timew_hl20_f035_coldctx_v1/seed_42/epoch_metrics.csv
thesis_m8_utgt_deploy_pure_eppcold_v1,Macro Average,macro_average,n/a,0.9456564404300817,0.8112456231721256,0.3165054144058401,0.29364490672180515,n/a,mixed_by_dataset_hparam,false,experiment/outputs/thesis_suite/thesis_m8_utgt_deploy_pure_eppcold_v1/summary.json,docs/results/thesis_m8_utgt_deploy_pure_eppcold_v1_epoch_metrics.csv
