suite,dataset,dataset_key,run_name,source_epoch_metrics_path,epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_teacher_distill_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,prototype_loss_weight_effective,prototype_trust_score,teacher_distill_weight_effective,teacher_distill_schedule_progress,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,hard_negative_teacher_coverage,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio,cold_start_context_signal_mean,cold_start_gate_max,cold_start_gate_mean,cold_start_gate_min,cold_start_support_count_mean,cold_start_zero_support_ratio
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,1,0.8031250733440205,0.8031233498605631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4480328102259685e-05,0.0,0.04,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.7811988682109829,0.04559696815131545,0.045776312490235754,29652,7413,22239,0,0,0.25,0,0,0.0,2497.084745762712,3169.0677966101694,18.996159828315346,756.2554973020392,0.8357409915681613,1,0.0003,3.0,0.7807581990452136,0.3613305647494429,0.8875978306188421,0.6030285873655545,0.007247956203280995,0.0,0.0,0.5044381017402068,0.21770694144701552,11.263375945010427,0.5200068672834817,11.313685514159122,2.6517221846822965,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.2358146744259333,0.3622551277532416,0.020525755810598702,1.3607311955953048,0.9815600676051641,0.9815600676051641,3.4480328102259685e-05,0.3167333092729924,1.2352921578843714,,,,,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,2,0.8639109084161661,0.8596137479200201,0.0,0.08590472893694699,0.017087998026508396,0.0,0.0,0.0,1.3616352049920953e-05,0.00010421725139968981,0.0,0.04,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.7863245420989382,0.046941509203173394,0.047210450592232535,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2535.915254237288,3156.0,17.804624072575972,674.4194315247616,0.6780168111041441,2,0.0003,3.0,0.7043953447018639,0.3058874576778735,0.8758364491543528,0.7227367506188861,0.021016894871274294,3.3103813559322034e-05,1.3616352049920953e-05,0.5116343922534231,0.341514737929328,11.274824158620026,0.5575235021316399,11.313682103561142,2.545405480821254,0.9981508729821544,0.4876725986852484,1.0,0.32998229537980034,0.983050846447379,0.2092171950360476,0.25,0.13960893553192333,1.0,0.06351519622287508,0.983050846447379,0.946877131017588,0.1581920951099719,1.1187004214626248,0.3049848059476432,0.028150270645648748,1.3565210508087935,0.9785230765908451,0.9785230765908451,0.00010421725139968981,0.32233509118274106,0.9914772126634243,,,,,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,3,0.8596475669893168,0.8529909495579995,0.0,0.17076765910043554,0.014951487719002416,0.0,0.0,0.0,0.0008745858262261471,0.0001799418606748015,0.1336976441286378,0.018379595892340193,0.4594898973085048,0.0,0.0,0.1,0.0,0.0,1.0,0.7895778789796204,0.047577344972305945,0.04780974499026925,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2530.186440677966,3135.0,18.82392779851364,768.5826798778469,0.7085470021781275,3,0.0003,3.0,0.9507690405441542,0.3350720350014961,1.1791213387149875,0.8789564371109009,0.04560394585132599,0.0021827662347863284,0.0008745858262261471,0.5297610345533339,0.39697910415924204,11.277396444546975,0.6342923631102352,11.31368616071798,2.498043314885285,0.9981651983018649,0.48776814341545105,1.0,0.3272303903506974,0.9999999989897518,0.22755805466134668,0.5,0.12442343492629164,1.0,0.05854051598047806,0.9999999989897518,0.9960776668483928,0.1581920951099719,1.3615522283618733,0.3364143593836639,0.05618130497760692,1.3550254530825858,0.9774442406023963,0.9774442406023963,0.0001799418606748015,0.33005647841146435,1.0611695273447845,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,4,0.838618814945221,0.8319622732825198,0.0,0.24557158376200725,0.010698865025730456,0.0,0.0,0.0,0.000389042097194144,5.3368907390257057e-05,0.06742063972909572,0.019267795208629156,0.48169488021572887,0.0,0.0,0.1,0.0,0.0,1.0,0.7879739438509579,0.04469609129147289,0.04480454163518249,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2537.0677966101694,3171.898305084746,18.16582679748535,675.2013415320445,0.6178784223936372,3,0.0003,3.0,0.8010274353673903,0.34813909762996736,1.0071700528516607,0.8478953818143424,0.04724625883213544,0.0007347809071889368,0.000389042097194144,0.5157467823917583,0.4795343779911429,11.274196818723517,0.7207977610119318,11.313682685464116,2.530095142833257,0.9980889518382186,0.48725981176909755,1.0,0.3162449956950495,0.9999999989897518,0.1655603336580729,0.75,0.14602690802539808,1.0,0.05811533401325598,0.9999999989897518,0.9958999955047996,0.1581920951099719,1.2697278119749942,0.356265188273737,0.13201272778086742,1.349079342211707,0.9731550257084733,0.9731550257084733,5.3368907390257057e-05,0.3351764668852596,0.9340013780836331,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,5,0.8431838427559805,0.8335393818758302,0.0,0.32770731388512303,0.010687765428575418,0.0,0.0,0.0,0.00021229954956837347,0.0004718695608432226,0.10106980194479732,0.021494346135788978,0.5373586533947244,0.0,0.0,0.1,0.0,0.0,1.0,0.7891341451292749,0.045803905858004805,0.04598372741572525,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2542.1186440677966,3167.915254237288,19.28070883023537,808.137385998742,0.6836823184611434,3,0.0003,3.0,0.8979854108923573,0.3756887175269046,1.0836725527957334,0.842185877137265,0.04767085529737553,0.0005296610169491525,0.00021229954956837347,0.5049155485832085,0.4890964202961679,11.276327294818426,0.7735291941691254,11.313686774948897,2.5978255433551336,0.9980890306375795,0.48726034871602464,1.0,0.31591260130122556,0.9999999989897518,0.18164055605055923,1.0,0.12371274860481084,1.0,0.054253715958635686,0.9999999989897518,0.9968854067689281,0.1581920951099719,1.4735749374001712,0.38611364415136434,0.15668777288016628,1.3585481764906544,0.9799853391566519,0.9799853391566519,0.0004718695608432226,0.3246272539688369,0.991772244542332,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,6,0.8271700426683588,0.8188504334223472,0.0,0.3151346692594431,0.00838067875070087,0.0,0.0,0.0,0.00015723316397979635,0.00014852882649994188,0.047795559390116545,0.021963653838009103,0.5490913459502276,0.0,0.0,0.1,0.0,0.0,1.0,0.7901641671115772,0.046320117137987116,0.04654337067813022,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2550.7118644067796,3183.169491525424,18.703125905182404,753.3345895540916,0.6785701285984557,6,0.0003,3.0,0.7591262702214516,0.3822132636935024,0.9441157811779087,0.799088025497178,0.04869431118338795,0.0004965572033898305,0.00015723316397979635,0.4940174388683448,0.5331621720629224,11.276014376494844,0.8203658481775704,11.313684221041404,2.5456557597144176,0.9980616640236418,0.48707791203159395,1.0,0.3056057090476408,0.9999999989897518,0.13829848814313694,1.0,0.1330755740656691,1.0,0.05228071116794974,0.9999999989897518,0.9969256166684426,0.1581920951099719,1.3343073250883717,0.3914693482851578,0.2189625052072234,1.349263520564063,0.9732878713284508,0.9732878713284508,0.00014852882649994188,0.3296847828363968,0.8563179434356043,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,7,0.8323954010413865,0.8227041515253358,0.0,0.320667172892619,0.008007305153345658,0.0,0.0,0.0,0.0002757392117134367,0.00028850267625461193,0.0980718671265295,0.02272590010860834,0.5681475027152085,0.0,0.0,0.1,0.0,0.0,1.0,0.790454509000295,0.04584277679166969,0.04599849894790585,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2557.1525423728813,3190.7796610169494,19.612699411683163,841.9056075791182,0.7141210972252539,7,0.0003,3.0,0.8845753093897286,0.40047233640137364,1.0973864147218608,0.7895295044123116,0.051177828178062275,0.0007282838983050848,0.0002757392117134367,0.48874045529608,0.5486590215715311,11.279057017827439,0.8518940978131052,11.313687841771012,2.563541699264009,0.9981557252043385,0.4877050220966339,1.0,0.31011229955543906,0.9999999989897518,0.1627388338921434,1.0,0.1089762583122415,1.0,0.04835865697113134,0.9999999989897518,0.9972379995604693,0.1581920951099719,1.5133458315315893,0.4125144345275426,0.2722197887250933,1.3536894563901223,0.9764805163367319,0.9764805163367319,0.00028850267625461193,0.3323428731853679,1.0473596766843634,22.77777777777778,1.3333333333333333,23.0,0.23842593530813852,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,XinYe DGraph,xinye_dgraph,probe_xy_m8_pure_enhbase_smallctx_v1,experiment/outputs/training/models/m8_utgt/probe_xy_m8_pure_enhbase_smallctx_v1/seed_42/epoch_metrics.csv,8,0.8235612178252916,0.8149963051585828,0.0,0.314737879623801,0.008949473752813825,0.0,0.0,0.0,0.00015249067556874637,0.00013374388800002635,0.04814012146602243,0.022662339694387076,0.5665584923596769,0.0,0.0,0.1,0.0,0.0,1.0,0.7871362978241171,0.04520476735479649,0.045340956624114206,29652,7413,22239,11118,0,0.25,44478,88956,0.0,2556.2033898305085,3191.728813559322,18.967490632655256,724.0957558842028,0.7371954690601866,7,0.0003,3.0,0.734047145156537,0.39477833448830296,1.003872350110846,0.7525546237573786,0.04924602503493681,0.00019862288135593222,0.00015249067556874637,0.4758107525817418,0.5818347284349344,11.279007281287242,0.8629027049420244,11.313685433339264,2.619456125518023,0.9981542411497084,0.48769500902143575,1.0,0.3056851782030978,0.9999999989897518,0.1318562547281637,1.0,0.11975297969529185,1.0,0.0491977310660532,0.9999999989897518,0.9971215714842586,0.1581920951099719,1.3525849924249165,0.4010685121608993,0.30036854617676495,1.3636980117377588,0.983700165304087,0.983700165304087,0.00013374388800002635,0.3092065564656662,0.8323391443592006,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,Elliptic Transactions,elliptic_transactions,probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1,experiment/outputs/elliptic_transactions/training/models/m8_utgt/probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/epoch_metrics.csv,1,1.233803703026338,1.2324928424575112,0.0,0.0,0.0,0.0,0.0,0.0,2.2223195463249628e-05,0.02617266113763132,0.0,0.03,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.8091945389430928,0.2911876711439692,0.24014093560708402,16084,4021,12063,0,0,0.25,0,0,0.0,6325.242424242424,7094.666666666667,34.13905785300515,355482.378573331,23.513803655450996,1,0.0003,3.0,1.0256374984076528,1.4563133924296408,1.301456043214509,0.646763439431335,0.0067179809098668174,0.0,2.2223195463249628e-05,0.5058774189515547,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,1.3988661440936,1.4489463928974036,0.3080801957597335,1.3114056009234805,0.9459791653084032,0.9459791653084032,0.02617266113763132,0.36023171923377295,1.8031608697139856,,,,,,,,,,
thesis_m8_utgt_deploy_pure_eppcold_v1,Elliptic Transactions,elliptic_transactions,probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1,experiment/outputs/elliptic_transactions/training/models/m8_utgt/probe_et_m8_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/epoch_metrics.csv,2,0.9734680891940088,0.9714465127749876,0.0,0.0,0.0,0.0,0.0,0.0,1.1489635984286327e-05,0.04040882830458665,0.0,0.03,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.7650360230372939,0.19114885878993934,0.12963413633003137,16084,4021,12063,10704,0,0.25,23262,27652,0.0,6387.363636363636,7164.848484848485,36.76300701950536,310658.97316672583,25.224341807943404,1,0.0003,3.0,0.8305972724249868,1.4525604663473186,1.2088331218921777,0.5081405612555417,0.013009083739510088,5.918560606060606e-05,1.1489635984286327e-05,0.5065302523699674,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,0.9861676422032443,1.4506929444544243,0.09589426095287006,1.291494405630863,0.9316162665685018,0.9316162665685018,0.04040882830458665,0.3672927202600421,1.3377875956622036,,,,,,,,,,
