epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.803120,,,0.781218,1
2,0.860477,,,0.785251,2
3,0.851989,,,0.789359,3
4,0.836090,,,0.787600,3
5,0.832581,,,0.785446,3
6,0.827823,,,0.789558,6
7,0.830158,,,0.792851,7
8,0.819692,,,0.785489,7
