epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,diffusion_view_count,diffusion_view_loss,diffusion_view_neg_sim,diffusion_view_pos_sim,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.9155750870704651,0.8941440582275391,0.0,0.0,0.0,0.0,0.0,0.0,2.95190774421725e-06,0.0,2.10184645652771,0.6991862522231208,4.761629210578071,0.04,1.0,0.1,0.0,0.0,1.0,0.7471706753498876,0.0388008598251351,0.038896923250770155,29652,7413,22239,0,0,0.25,0,0,16417.222222222223,20869.88888888889,18.089540481567383,685.7207709418403,0.7596308655209012,1,0.0003,3.0,0.8077529006534152,0.3128093315495385,0.8501037293010287,0.5352951685587565,0.002134732914985054,0.0,0.0,0.501087509923511,4.7423595322502985,5.68350887298584,0.6991862522231208,5.670320192972819,5.665924019283718,0.025129894208576944,3294.6666666666665,0.6212381588088142,3294.6666666666665,4.761629210578071,0.15979348288642037,0.8941928678088717,0.09588367243607838,11.21968142191569,0.4997115234533946,11.313682874043783,2.6938832336001926,0.9982380138503181,0.48825354046291775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518519070413378,1.3177632358339098,0.3127177158991496,0.012035224121063948,1.3807286156548395,0.9959851370917426,0.9959851370917426,2.95190774421725e-06,0.2792652448018392,1.2457273933622572
2,0.9528735677401224,0.923700922065311,0.0,0.08203276412354575,0.07035521666208903,0.0,0.0,0.0,1.191515164262253e-06,0.0,2.0942613548702664,0.6665851473808289,5.2845156987508135,0.04,1.0,0.1,0.0,0.0,1.0,0.7566192888546331,0.03899247617808857,0.03909774118647076,29652,7413,22239,11118,0,0.25,44478,88956,16324.0,20185.88888888889,17.647956636216904,637.2626953125,0.6558635863992903,2,0.0003,3.0,0.6617736352814568,0.30993176500002545,0.7620216674274869,0.5682280328538682,0.004711856289456288,0.0,0.0,0.5028354061974419,4.736310058169895,5.691265265146892,0.6665851473808289,5.652005672454834,5.638919035593669,0.06837063365512425,3294.6666666666665,0.6154430641068352,3294.6666666666665,5.2845156987508135,0.21274260679880777,0.8944740759001838,0.11026953160762787,11.237724410163032,0.501952071984609,11.313681708441841,2.4006278779771595,0.99825652440389,0.4883768955866496,1.0,0.3159733944469028,0.8888888822661506,0.18535264829794565,0.25,0.07554109891255696,1.0,0.05780053469869825,0.8888888822661506,0.6627964112493727,0.18518519070413378,1.0761270854208205,0.3106353415383233,0.017611062568094995,1.372529559665256,0.9900707999865214,0.9900707999865214,1.191515164262253e-06,0.3024669521384769,1.0992978811264038
3,0.9214145077599419,0.8958652681774564,0.0,0.18387974136405522,0.029011249542236328,0.0,0.0,0.0,2.4647465882784065e-05,0.0,2.058416419559055,0.6640422211752998,4.7232682440016,0.016482185435168956,0.4120546358792239,0.1,0.0,0.0,1.0,0.7762035020521667,0.04269385144537527,0.04281697667486227,29652,7413,22239,11118,0,0.25,44478,88956,16330.0,20228.444444444445,18.077346801757812,700.78125,0.4642314116160075,3,0.0003,3.0,0.7507066528002421,0.29169612791803146,0.8667973279953003,0.5642595291137695,0.006655744380421109,0.0,0.0,0.5018905798594157,4.6756062507629395,5.63988553153144,0.6640422211752998,5.584363089667426,5.565855503082275,0.09709774371650484,3294.6666666666665,0.6182531648212009,3294.6666666666665,4.7232682440016,0.1586093008518219,0.8958641224437289,0.14788655274444157,11.251556396484375,0.5046080814467536,11.313685099283854,2.4389568169911704,0.9982645246717665,0.48843010266621906,1.0,0.35116339060995316,0.9999999933772616,0.2713429431120555,0.5,0.0766274809009499,1.0,0.060578936090072,0.9999999933772616,0.9935356444782681,0.18518519070413378,1.2157058980729845,0.2921313974592421,0.014913127861089177,1.3627395629882812,0.9830088019371033,0.9830088019371033,2.4647465882784065e-05,0.3328555491235521,1.2237352795071073
4,0.8962433801756965,0.868592255645328,0.0,0.2677445544136895,0.026113251845041912,0.0,0.0,0.0,2.6659659852157347e-05,0.0,1.9984757370418973,0.655048688252767,5.206425084008111,0.017288060567317326,0.4322015141829331,0.1,0.0,0.0,1.0,0.7764521887975232,0.043021493120442726,0.043147244027299386,29652,7413,22239,11118,0,0.25,44478,88956,16652.777777777777,20803.88888888889,17.373275968763565,654.3851657443577,0.4689042650991016,4,0.0003,3.0,0.6639041105906168,0.29068152440918815,0.7827712164984809,0.6141192648145888,0.009538643889957003,0.0,0.0,0.5043229990535312,4.61403406990899,5.558456738789876,0.655048688252767,5.401466316646999,5.349136299557156,0.2545420163207584,3294.6666666666665,0.610299825668335,3294.6666666666665,5.206425084008111,0.18220811751153734,0.8987143238385519,0.21478667689694297,11.256743643018934,0.5110658870802985,11.313681284586588,2.5293622546725802,0.9981843829154968,0.4878958761692047,1.0,0.3417055308818817,0.9999999933772616,0.24382905496491325,0.75,0.11300288057989544,1.0,0.06191489969690641,0.9999999933772616,0.9936185942755805,0.18518519070413378,1.093614551756117,0.2910568548573388,0.017830336052510474,1.3593339655134413,0.9805521832572089,0.9805521832572089,2.6659659852157347e-05,0.3443573580847846,1.0651754803127713
5,0.8908973866038852,0.8628421955638461,0.0,0.35494568943977356,0.012867152690887451,0.0,0.0,0.0,4.848426518340905e-06,0.0,1.9796055025524564,0.6583115127351549,4.786703480614556,0.018660694966163446,0.4665173741540861,0.1,0.0,0.0,1.0,0.7776367197204443,0.04246457405830461,0.04257674910910866,29652,7413,22239,11118,0,0.25,44478,88956,16574.777777777777,20620.11111111111,18.530697292751736,787.7222629123264,0.47267363799942863,5,0.0003,3.0,0.7885892126295302,0.31342751450008816,0.9048509399096171,0.6725445654657152,0.012240570555958483,0.0,0.0,0.5086967680189345,4.5926205846998425,5.514866987864177,0.6583115127351549,5.33269739151001,5.2719742986891,0.30196689234839547,3294.6666666666665,0.6206535564528571,3294.6666666666665,4.786703480614556,0.14812204904026455,0.8988734351264106,0.2628772755463918,11.265388594733345,0.523143986860911,11.313685417175293,2.5184252527025013,0.9980912804603577,0.4872750010755327,1.0,0.3384090993139479,0.9999999933772616,0.27090885904100204,1.0,0.11129931112130483,1.0,0.05982285820775562,0.9999999933772616,0.994912240240309,0.18518519070413378,1.2729697757297092,0.31321004695362514,0.02135448633796639,1.3617086675431993,0.9822651412751939,0.9822651412751939,4.848426518340905e-06,0.33716481261783177,1.2010134988360934
