epoch,train_loss,train_auc,val_loss,val_auc
1,1.186763,,,0.800629
2,0.856001,,,0.662471
3,0.553053,,,0.712650
4,0.657174,,,0.799253
5,0.393169,,,0.442744
6,0.395950,,,0.749018
7,0.331168,,,0.502292
8,0.288727,,,0.555496
9,0.254412,,,0.625272
10,0.183906,,,0.542297
11,0.225165,,,0.474424
