epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.0440436999003093,1.0435749689737956,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.68469737132759,0.032143244257492,0.03398161725989399,72,18,54,0,0,0.25,0,0,117.0,145.33333333333334,4082.460005760193,4993489764.82785,3.071601072947184,1,0.0003,3.0,0.5065653622150421,62.49289186795553,0.7486863136291504,0.4876883924007416,0.0003787462095109125,0.0,0.0,0.49991487463315326,0.05981254825989405,7.92875337600708,0.5047402779261271,7.999984264373779,1.4922423150273971,0.9971175392468771,0.480783353249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.680793046951294,62.49215406179428,0.0007245731928075353,1.3698227405548096,0.9881182114283243,0.9881182114283243,0.009374999751647314,0.27512578169504803,0.9505972663561503
2,0.9787772496541342,0.9686696728070577,0.0,0.09080260246992111,0.12117590506871541,0.0,0.0,0.0,0.008333333457509676,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7054478683454826,0.03380929047433075,0.03573846810617416,72,18,54,28,0,0.25,108,216,107.33333333333333,138.0,1463.2611894607544,3115810629.822815,2.1750619808832803,2,0.0003,3.0,0.39255351821581524,71.60700283447902,0.5576499203840891,0.4906063675880432,0.0016216717194765806,0.0,0.0,0.49891309936841327,0.05554349720478058,7.918538252512614,0.5042207837104797,7.999980131785075,1.8916698694229126,0.9981632630030314,0.48775482177734375,1.0,0.3525371154149373,0.6666666666666666,0.13268529872099558,0.25,0.014908966918786367,1.0,0.0807807631790638,0.6666666666666666,0.0,0.3333333432674408,0.6037287910779318,71.6019655764103,0.002845883214225372,1.3718291521072388,0.9895655115445455,0.9895655115445455,0.008333333457509676,0.273333619038264,0.8461494247118632
3,0.9390050967534384,0.9300650159517924,0.0,0.1446427380045255,0.14585777123769125,0.0,0.0,0.0,0.0,0.0,0.0,0.011387791108391275,0.28469477770978185,0.1,0.0,0.0,1.0,0.7121161917384582,0.03465129086257042,0.036662946273372014,72,18,54,28,0,0.25,108,216,108.0,140.66666666666666,12.319322268168131,250.75434366861978,2.480699102083842,3,0.0003,3.0,0.4255744020144145,0.27621030807495117,0.5656331380208334,0.4949472447236379,0.002317486796528101,0.0,0.0,0.5002594987551371,0.06270613769690196,7.889537334442139,0.5046356519063314,7.999977906545003,2.118883411089579,0.9956066012382507,0.4707104067007701,1.0,0.27836113174756366,1.0,0.18875725070635477,0.5,0.10331699003775914,1.0,0.029729627693692844,1.0,0.9614855249722799,0.3333333432674408,0.6818535327911377,0.2745717366536458,0.004188736279805501,1.3831957976023357,0.9977648655573527,0.9977648655573527,0.0,0.2739348312218984,0.9604916969935099
4,0.9233115911483765,0.9136033455530802,0.0,0.20118904610474905,0.1331835389137268,0.0,0.0,0.0,0.0,0.0,0.0,0.015155338798839157,0.37888346997097894,0.1,0.0,0.0,1.0,0.7160509167218909,0.034882548131140445,0.03693047144068249,72,18,54,28,0,0.25,108,216,105.33333333333333,128.33333333333334,11.894918441772461,230.99169413248697,1.957183798154195,4,0.0003,3.0,0.3637031118075053,0.2767862280209859,0.5070305267969767,0.5043863852818807,0.002728171724205216,0.0,0.0,0.5011939207712809,0.06699910759925842,7.9361701011657715,0.5052018761634827,7.999977906545003,1.910831332206726,0.9970839023590088,0.48055924971898395,1.0,0.2598959108193715,1.0,0.13741626838843027,0.75,0.07745954642693202,1.0,0.029706627130508423,1.0,0.9640025099118551,0.3333333432674408,0.6039093931516012,0.2720252474149068,0.005397341990222533,1.3825630346934001,0.9973084131876627,0.9973084131876627,0.0,0.27731531858444214,0.8512104153633118
5,0.8747166395187378,0.8627761602401733,0.0,0.31791428724924725,0.12580706675847372,0.0,0.0,0.0,0.0,0.0,0.0,0.017772469431046246,0.4443117357761561,0.1,0.0,0.0,1.0,0.7162580075104926,0.03484386471406028,0.03690388470089687,72,18,54,28,0,0.25,108,216,105.66666666666667,121.66666666666667,12.804939905802408,279.48529052734375,2.2881515423456826,5,0.0003,3.0,0.43240294853846234,0.2999740143616994,0.5968017975489298,0.511370579401652,0.0020776062350099287,0.0,0.0,0.5023294488588969,0.07183904449145,7.95074478785197,0.5056688189506531,7.999983310699463,1.738487680753072,0.9966697692871094,0.4777978758017222,1.0,0.3069203197956085,1.0,0.17780824999014536,1.0,0.0809424618879954,1.0,0.042071000983317695,1.0,0.967037558555603,0.3333333432674408,0.6773885091145834,0.2976360122362773,0.0058917333371937275,1.3805763324101765,0.9958753188451132,0.9958753188451132,0.0,0.28044138352076214,0.974153737227122
