epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.1870112559374641,1.1859961502692278,0.0,0.0,0.0,0.0,0.0,0.0,0.020302177438305292,0.0,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.7649491767374713,0.4336744036919549,0.42490935364035937,16084,4021,12063,0,0,0.25,0,0,12294.64705882353,13801.411764705883,33.62838543162626,335385.61064596736,9.995826090083403,1,0.0003,3.0,1.0632045549504898,1.3317039573893827,1.268161752644707,0.5624907577739042,0.00420918532044572,0.0,0.0,0.5044370784479029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960930403541,1.5232823035296272,1.3295305809553932,0.22366307429311907,1.3340356069452621,0.9623032632996055,0.9623032632996055,0.020302177438305292,0.3313414051252253,1.9072702421861536
2,1.2227062793339,1.221430431394016,0.0,0.0,0.0,0.0,0.0,1.8498031161417364e-05,0.02547961746356176,0.0,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.765840967055765,0.5327965476718224,0.5239661760744596,16084,4021,12063,10704,0,0.25,23262,27652,12453.411764705883,14034.058823529413,29.93629208733054,199936.20991785385,27.0654774834128,2,0.0003,3.0,0.9134805518038133,1.1846709952634924,1.1896946605514078,0.5960430047091316,0.011984565130927983,0.00011488970588235294,1.8498031161417364e-05,0.5095149594194749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960930403541,1.1849135020199943,1.180344564073226,0.11876166305121254,1.3143659830093384,0.9481146300540251,0.9481146300540251,0.02547961746356176,0.3580654806950513,1.477732027278227
3,0.8626996208639706,0.8574122488498688,0.0,0.07812567515408292,0.0645068883895874,0.0,0.0,0.0,0.022490334498476896,0.0,0.0,0.0,0.0,0.012,0.4,0.1,0.0,0.0,1.0,0.7698512464261738,0.5577512760439091,0.5489061865510116,16084,4021,12063,10704,0,0.25,23262,27652,12272.470588235294,13794.29411764706,32.17673817802878,194085.22153607538,14.958529184846316,3,0.0003,3.0,1.0407480737742256,1.2060819408472847,1.4299014175639433,0.33469828437356386,0.012868653270689881,0.0,0.0,0.4987802347716163,1.0,0.2991635361138512,0.9411764670820797,0.21736034487976746,0.25,0.17896218860850616,1.0,0.049422992502941805,0.9411764670820797,0.7299331531805151,0.4901960930403541,1.3359911161310531,1.2049575272728414,0.1114325694301549,1.3372144278358011,0.9645963100826039,0.9645963100826039,0.022490334498476896,0.3187708276159623,1.474925209494198
4,0.6423955401953529,0.6362317993360407,0.0,0.15412759649402955,0.05261646298801198,0.0,0.0,0.0,0.031013701669187013,0.0,0.0,0.0,0.0,0.012861001462606934,0.4287000487535645,0.1,0.0,0.0,1.0,0.7540746062227192,0.18332070768362674,0.11661634368819292,16084,4021,12063,10704,0,0.25,23262,27652,12337.0,13831.882352941177,37.86989402770996,311541.7783562155,23.767474781064426,3,0.0003,3.0,0.8080768795574412,1.3854972509776844,1.2216039860949797,0.19968609862467823,0.014199410729548511,0.0,0.0,0.486714466529734,1.0,0.29680733382701874,0.9999999964938444,0.1720567358767285,0.5,0.39826293377315297,1.0,0.05690048689789632,0.9999999964938444,0.9792498209897209,0.4901960930403541,1.014398424064412,1.388092907036052,0.12323807092273936,1.3250599608701819,0.9558286701931673,0.9558286701931673,0.031013701669187013,0.32327115360428305,0.9767532068140367
5,0.518809066099279,0.5132688494289622,0.0,0.20185798055985393,0.017304259188034955,0.0,0.0,4.085512474001221e-06,0.031280670154100174,0.0,0.0,0.0,0.0,0.015409651388591078,0.5136550462863693,0.1,0.0,0.0,1.0,0.815270447456373,0.40583067816194673,0.3690579345473402,16084,4021,12063,10704,0,0.25,23262,27652,12189.0,13625.882352941177,39.322061875287226,338958.3980425666,5.265229971969829,5,0.0003,3.0,1.0268387829556185,1.4186971923884224,1.5002581301857443,0.3387232913690455,0.01824365950682584,0.0,4.085512474001221e-06,0.4964897667660433,1.0,0.2563622120548697,0.9999999964938444,0.20863734361003428,0.75,0.35931239233297463,1.0,0.04699794619398959,0.9999999964938444,0.9862714515012854,0.4901960930403541,1.1809491550221163,1.4158015356344336,0.17812683345640407,1.3197544953402351,0.9520016172352959,0.9520016172352959,0.031280670154100174,0.32743097754085765,1.169368491453283
6,0.7062106097445768,0.6998614125392016,0.0,0.2172313490334679,0.025731668752782485,0.0,0.0,3.978628057452357e-05,0.02272139102077584,0.0,0.0,0.0,0.0,0.01805713245914875,0.6019044153049584,0.1,0.0,0.0,1.0,0.7770463613823991,0.516086645232024,0.5064197359734521,16084,4021,12063,10704,0,0.25,23262,27652,12331.588235294117,13860.35294117647,32.55092587190516,173632.97924804688,20.350887845544253,5,0.0003,3.0,0.869388552273021,1.066738568684634,1.3449180546928854,0.3434654211296755,0.021481773322995973,0.00028722426470588236,3.978628057452357e-05,0.5008662115125095,1.0,0.20680277312503142,0.9999999964938444,0.16968395385672064,1.0,0.4669060619438396,1.0,0.03888749966726584,0.9999999964938444,0.9864342037369224,0.4901960930403541,0.9151275578667136,1.065078482908361,0.16689061461126103,1.3339037264094633,0.9622081518173218,0.9622081518173218,0.02272139102077584,0.3167594040141386,0.8645549942465389
7,0.6666074815918418,0.6584944330594119,0.0,0.29327810336561766,0.01833889414282406,0.0,0.0,2.8242547534104876e-05,0.02210008629310109,0.0,0.0,0.0,0.0,0.02075941238421129,0.691980412807043,0.1,0.0,0.0,1.0,0.4086267863072065,0.19833206859602925,0.04119398454343325,16084,4021,12063,10704,0,0.25,23262,27652,12279.823529411764,13780.411764705883,34.44092357859892,236379.02139820773,12.361420389483957,5,0.0003,3.0,1.0613987375708187,1.1192013130468481,1.575375704204335,0.23341142123236375,0.021756565527004355,0.00022977941176470588,2.8242547534104876e-05,0.49809898874338937,1.0,0.2796587400576648,0.9999999964938444,0.2146495010922937,1.0,0.4513729197137496,1.0,0.05773774085237699,0.9999999964938444,0.9848999906988705,0.4901960930403541,1.1435744481928207,1.1229290576542126,0.33267878960160646,1.3312049473033232,0.9602613799712237,0.9602613799712237,0.02210008629310109,0.33454933236627016,1.1233459676013273
8,0.8663056142189923,0.854900169021943,0.0,0.3466889253434013,0.06466625367893893,0.0,0.0,0.000567837530752513,0.017272719072506708,0.0,0.0,0.0,0.0,0.02091708081249986,0.6972360270833287,0.1,0.0,0.0,1.0,0.7730784953212061,0.5747874993644968,0.5659263054856472,16084,4021,12063,10704,0,0.25,23262,27652,12247.235294117647,13773.235294117647,31.616234498865463,126497.9250201057,16.897475452984082,5,0.0003,3.0,0.9809215314248029,0.8967884182929993,1.4785672987208647,0.3936388843199786,0.03103007430977681,0.003641542389660197,0.000567837530752513,0.5116502537446863,1.0,0.3322962233248879,0.9999999964938444,0.21696032583713531,1.0,0.42583710722186985,1.0,0.07089368845610057,0.9999999964938444,0.9861041377572453,0.4901960930403541,0.9121596918386572,0.8945407096077415,0.21430825222941005,1.342669080285465,0.9685309985104729,0.9685309985104729,0.017272719072506708,0.3162297536345089,0.8469578097848331
9,0.6893059155520271,0.6777657498331631,0.0,0.352024124825702,0.07461687396554385,0.0,0.0,4.363069076455705e-05,0.012195726246264874,0.0,0.0,0.0,0.0,0.02043942323101947,0.681314107700649,0.1,0.0,0.0,1.0,0.5290835130176544,0.18093922636977378,0.051044053883461275,16084,4021,12063,10704,0,0.25,23262,27652,12144.823529411764,13630.35294117647,33.16868333255543,122831.07142549402,8.388851874014911,5,0.00015,3.0,1.1536923296311323,0.8484812378883362,1.7235867907019222,0.21658281236886978,0.02909448600428946,0.0004021139705882353,4.363069076455705e-05,0.48853091457310843,1.0,0.334481137640336,0.9999999964938444,0.2803181479958927,1.0,0.35921315498211803,1.0,0.070541628252934,0.9999999964938444,0.9833737892263076,0.4901960930403541,1.2469562292099,0.8495356019805459,0.4924155806793886,1.3374796614927404,0.9647876339800218,0.9647876339800218,0.012195726246264874,0.328819578184801,1.2872021759257597
10,0.40146316675578847,0.3946549331440645,0.0,0.2497489233227337,0.02942465683993171,0.0,0.0,0.0,0.014038722619542407,0.0,0.0,0.0,0.0,0.01855888671283684,0.6186295570945612,0.1,0.09715783946634282,0.9715783946634281,1.0,0.8180524575887106,0.5723877133344202,0.5506656796311576,16084,4021,12063,10704,0,0.25,23262,27652,12238.411764705883,13713.35294117647,36.841343374813306,163914.90887810203,4.488086777574876,10,0.00015,3.0,0.8752170625854941,0.9801571018555585,1.5521692738813513,0.15704444642452633,0.016519751892808604,0.0,0.0,0.46106714360854206,1.0,0.23785593141527736,0.9999999964938444,0.18862459238837748,1.0,0.5160542568739723,1.0,0.04923529134077184,0.9999999964938444,0.9808097096050487,0.4901960930403541,0.9079273343086243,0.9848625484634849,0.688507220324348,1.325588163207559,0.956209726193372,0.956209726193372,0.014038722619542407,0.35877958991948294,1.006788870867561
