epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio
1,0.801942760661497,0.8014938437332542,0.0,0.0,0.0,0.0,0.0,0.0,7.95605329755236e-05,0.0,1.9078583777961085,0.6336850685588384,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7796654986517245,0.04491766498911348,0.04505154379380854,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.966001930883376,751.0821802171611,0.8437314993244106,1,0.0003,3.0,0.7744058037208299,0.36300071770861997,0.8794473480370085,0.5923417826830331,0.007237633450501361,0.0,0.0,0.5045036244190345,4.473375142630884,5.334443911718505,0.27888859522133563,5.4626054763793945,0.6336850685588384,5.203652179847329,5.117334584058342,0.35530491580523677,376.93220338983053,0.6193888692532555,0.22030441513506033,11.262401322187003,0.5200578322855093,11.313685320191464,2.651625301878331,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.2361685482122131,0.3636434143882687,0.020915975162790992,1.36578011714806,0.9852020871841302,0.9852020871841302,7.95605329755236e-05,0.3236100017014196,1.1917160345336137,,,,
2,0.8622069096161147,0.8576543472580991,0.0,0.08451906238066947,0.016298288005893512,0.0,0.0,3.37498157454844e-05,2.424230491268938e-05,0.0,1.4074300770032204,0.7081204864938381,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7850552738545783,0.047267493631373426,0.04750048509455549,29652,7413,22239,11118,0,0.25,44478,88956,2530.406779661017,3149.5593220338983,17.723588393906414,687.5471439684852,0.6846691779160904,2,0.0003,3.0,0.6960453825481867,0.3104100176843546,0.8780510930691735,0.7245639037277739,0.021728366771239346,0.00017058902214896882,3.37498157454844e-05,0.5138708100480548,3.690553564136311,4.055768030820148,0.5513943485669647,4.081083471492185,0.7081204864938381,3.861394619537612,3.788165140960176,0.5655461489144018,376.93220338983053,0.6217726236682827,0.34656777674868955,11.272945307068905,0.5589936405925428,11.313682119725113,2.492900256383217,0.9981676663382578,0.48778461450237337,1.0,0.32523834755865194,0.983050846447379,0.19645875313524472,0.25,0.13269929133229336,1.0,0.060299290691391894,0.983050846447379,0.9472417588961326,0.1581920951099719,1.1092106841378293,0.3086343983472404,0.028697246843475407,1.366645770557856,0.9858265216067686,0.9858265216067686,2.424230491268938e-05,0.3234917334580826,0.9032277444661674,,,,
3,0.8553918165675665,0.8484281422728199,0.0,0.17008423476906145,0.013290614394818321,0.0,0.0,0.0009486717704715112,5.055746901311746e-05,0.13507503675202193,1.3967722593727758,0.7058718204498291,0.0,0.018522036821770994,0.4630509205442748,0.1,0.0,0.0,1.0,0.7893385795280871,0.046917186944502545,0.047111489870686224,29652,7413,22239,11118,0,0.25,44478,88956,2534.4576271186443,3157.6271186440677,18.737807936587576,754.9056613728152,0.7129210668095087,3,0.0003,3.0,0.968977545277547,0.3406673391996804,1.1963291754156857,0.8931114380642519,0.04749523052724741,0.0018783349038685782,0.0009486717704715112,0.5322827474545624,3.7062400478427695,3.8962968400411695,0.5575187851159593,4.157983557652619,0.7058718204498291,3.938371941194696,3.865168232028767,0.5461260050030078,376.93220338983053,0.6096211732444117,0.4035242745431803,11.277952097230038,0.6291326860250053,11.313685982914294,2.555200112068047,0.9981517710928189,0.48767858390080726,1.0,0.32640694511138785,0.9999999989897518,0.21789713961593174,0.5,0.12097221032037574,1.0,0.05733340359845404,0.9999999989897518,0.9963017631385286,0.1581920951099719,1.4060748088157784,0.3425339622012639,0.06036784316776162,1.3613142058000727,0.9819806218147278,0.9819806218147278,5.055746901311746e-05,0.33042884681184415,0.9645290112091323,23.0,1.3333333333333333,23.0,0.2395833432674408
4,0.8391063536627817,0.832277215133279,0.0,0.24536076415393313,0.009031920109765005,0.0,0.0,0.0005024080937955197,1.439608849515503e-05,0.06370379763134455,1.1086648035857638,0.682778924198474,0.0,0.01941021194641884,0.48525529866047096,0.1,0.0,0.0,1.0,0.7880851409906408,0.04618657909224125,0.04639551259018266,29652,7413,22239,11118,0,0.25,44478,88956,2540.4745762711864,3176.0508474576272,18.04626409886247,685.8552556442002,0.6060668876615621,3,0.0003,3.0,0.8238557142726446,0.35098176537933995,1.0159598619250927,0.8620898167965776,0.04949785844754365,0.000900299974985547,0.0005024080937955197,0.5165568883136168,3.1728685831619523,3.162252686622066,0.6568092552226726,3.36847696465961,0.682778924198474,3.030069625983804,2.917267270007376,0.6707025069301411,376.93220338983053,0.6144662024611134,0.46714360582626474,11.274861238770566,0.7144227058200513,11.313681941921429,2.561330488172628,0.9980728313074274,0.48715241480681853,1.0,0.31629606828851214,0.9999999989897518,0.1603961897603536,0.75,0.13932071689326883,1.0,0.05663610868534799,0.9999999989897518,0.995822367021593,0.1581920951099719,1.3473048230349007,0.3578790754584943,0.13671244251526007,1.3626873533604509,0.9829711176581302,0.9829711176581302,1.439608849515503e-05,0.32768937288704564,0.8080424231997991,23.0,1.3333333333333333,23.0,0.2395833432674408
5,0.8410903962992006,0.8311937158390627,0.0,0.324159179703664,0.008272074036679025,0.0,0.0,0.0003045409278040436,6.590380339190942e-05,0.10560788643562187,1.272353162199764,0.6931624846943354,0.0,0.021635613200254217,0.5408903300063554,0.1,0.0,0.0,1.0,0.7868085572474046,0.04523874090974522,0.045376429940609635,29652,7413,22239,11118,0,0.25,44478,88956,2543.2203389830506,3168.3389830508477,19.1450903941009,766.3294201867055,0.7251323794914504,3,0.0003,3.0,0.9053150324498193,0.3874332803790852,1.0920748852067075,0.8293727080700761,0.04742482658159935,0.0008671961614262249,0.0003045409278040436,0.5053632653365701,3.497317386885821,3.5104156478197064,0.5863770518147314,3.870493751461223,0.6931624846943354,3.6061459153385487,3.5180300211502336,0.5723725431046244,376.93220338983053,0.6232980555396969,0.5066668456893856,11.276494947530455,0.7914048473713762,11.31368637084961,2.5967514454308205,0.9981589054657241,0.4877261640661854,1.0,0.3128410082752422,0.9999999989897518,0.17517261434409578,1.0,0.11593467881113796,1.0,0.05119083177740291,0.9999999989897518,0.9967856639522618,0.1581920951099719,1.4771443565013045,0.39696999121520476,0.16558589887315944,1.3606057672177332,0.9814695806826575,0.9814695806826575,6.590380339190942e-05,0.33235709748025666,0.9069698685306614,23.0,1.3333333333333333,23.0,0.2395833432674408
6,0.8273930084907403,0.8186881340156167,0.0,0.3142195273253877,0.007523077019190384,0.0,0.0,0.00024777567017797805,7.942725383376671e-06,0.05479724679963063,1.06365384489803,0.6729383306988215,0.0,0.02204692293325889,0.5511730733314723,0.1,0.0,0.0,1.0,0.7882010330745393,0.044447894891685505,0.04458166734941339,29652,7413,22239,11118,0,0.25,44478,88956,2560.5254237288136,3202.322033898305,18.50823298955368,728.7121292372881,0.6681184910111508,3,0.0003,3.0,0.7833332611342608,0.3855473000114247,0.9812555201983048,0.8053046475022526,0.04925059577671148,0.0002979343220338983,0.00024777567017797805,0.4949681864956678,3.0957611374935863,3.0215244799574976,0.6405855973673092,3.268401194426973,0.6729383306988215,2.9125581030118264,2.793943764799732,0.6534449377302396,376.93220338983053,0.6234709731603073,0.5328902592093258,11.275234707331252,0.8263004987926806,11.313683913925948,2.585734660342588,0.9981172872801959,0.4874487408136917,1.0,0.3049031753661269,0.9999999989897518,0.1358570224147732,1.0,0.12586142602613418,1.0,0.050469997702008586,0.9999999989897518,0.9967376650389979,0.1581920951099719,1.3857178829484067,0.39595944244982834,0.2243777960538864,1.3685341426881694,0.9871887029227564,0.9871887029227564,7.942725383376671e-06,0.3161680733753463,0.7894204723632942,23.0,1.3333333333333333,23.0,0.2395833432674408
7,0.8340618357820025,0.8240248631622832,0.0,0.3205946320194309,0.009432494640350342,0.0,0.0,0.00034318382825142057,8.530809960359612e-06,0.09622033874867326,1.2182618925126933,0.6832523709636623,0.0,0.0227521361516865,0.5688034037921624,0.1,0.0,0.0,1.0,0.7900464263690692,0.04588301755611885,0.04605328550263805,29652,7413,22239,11118,0,0.25,44478,88956,2549.8474576271187,3181.271186440678,19.535792108309472,821.7800168829449,0.7374137367232371,7,0.0003,3.0,0.8999471088587228,0.4044945952245745,1.0886843164088362,0.8052145626585362,0.05218698052784144,0.0007282838983050848,0.00034318382825142057,0.48623173115617135,3.388179399199405,3.4125848945981225,0.6076470059834331,3.811644966319456,0.6832523709636623,3.5077106993077165,3.4063993510553394,0.6058715884968385,376.93220338983053,0.6175272303112482,0.5510422526779821,11.281931133593543,0.8612762305696132,11.313687453835698,2.577175027233059,0.9980914804895046,0.4872766445248814,1.0,0.3103145108384601,0.9999999989897518,0.1583782457194086,1.0,0.1036381427261789,1.0,0.047224121452388114,0.9999999989897518,0.9965766395552683,0.1581920951099719,1.5765794434789884,0.4200046229160438,0.26541001438084294,1.3640197919586958,0.9839322678113388,0.9839322678113388,8.530809960359612e-06,0.32516401602050005,0.8994129926471387,23.0,1.3333333333333333,23.0,0.2395833432674408
8,0.8161118121470435,0.8073718174029205,0.0,0.31118226606967087,0.007753738912485413,0.0,0.0,0.00017192475570482202,4.3617586740411e-05,0.050011891934831264,1.036870268441863,0.6582424822500197,0.0,0.022686058523316906,0.5671514630829226,0.1,0.0,0.0,1.0,0.7877791120984807,0.0450718415977135,0.04526250733821162,29652,7413,22239,11118,0,0.25,44478,88956,2554.4745762711864,3194.813559322034,18.86610619496491,753.8984799142611,0.6985899149361303,7,0.0003,3.0,0.7459287047386169,0.40177536869453173,0.9805204009605666,0.7637885273513147,0.05108247886774903,0.0003310381355932203,0.00017192475570482202,0.47231441231097204,3.037395647016622,2.9945433856392842,0.7088886480699654,3.3378515485989846,0.6582424822500197,2.900238065396325,2.7543669635966674,0.7258997842416925,376.93220338983053,0.620218565908529,0.5732728657075914,11.277894214048224,0.8827627634598036,11.313685142387778,2.5741741354182617,0.9980475781327587,0.4869839549064636,1.0,0.30259231743166004,0.9999999989897518,0.1249580778560396,1.0,0.1167678126465466,1.0,0.04684092293856507,0.9999999989897518,0.9966183708885968,0.1581920951099719,1.4005108768657102,0.4144866971646325,0.3166921719656152,1.3549835823350034,0.9774140331704738,0.9774140331704738,4.3617586740411e-05,0.3393705765069541,0.7896771350149381,22.555555555555557,1.3333333333333333,23.0,0.23726852734883627
9,0.8229367935051353,0.8129547480809487,0.0,0.32039688956939566,0.007324072264008603,0.0,0.0,0.0001532440656905299,0.00012276452826434682,0.0947728399503029,1.1975187164241985,0.6664255847365169,0.0,0.023073828681747257,0.5768457170436814,0.1,0.09737351811449346,0.9737351811449346,1.0,0.78630281354943,0.043583737733015715,0.04371675810932931,29652,7413,22239,11118,0,0.25,44478,88956,2549.186440677966,3187.1525423728813,19.936012656001722,848.3167372881356,0.7941610055454706,7,0.0003,3.0,0.8301125714334391,0.4194144793486191,1.106239504733328,0.7439127544225272,0.04960546080591315,0.0003641419491525424,0.0001532440656905299,0.46374003765946725,3.3467413611331227,3.434463845171236,0.7005219657176889,3.945972115306531,0.6664255847365169,3.5386069346282443,3.4028185787847485,0.7047996844275523,376.93220338983053,0.6234456654322349,0.5798614590854968,11.28231893959692,0.8991698026657104,11.313688536821786,2.5963739217337913,0.9980805203066034,0.4872035848892341,1.0,0.310550425517357,0.9999999989897518,0.1514714231430474,1.0,0.0996802811652927,1.0,0.04545786263326467,0.9999999989897518,0.9972425002162739,0.1581920951099719,1.5128242525003723,0.4344940079470812,0.36215501266010736,1.3653203774306735,0.9848704610840749,0.9848704610840749,0.00012276452826434682,0.31779444268194296,0.9397838752148515,23.0,1.3333333333333333,23.0,0.2395833432674408
10,0.8034951424194594,0.794808393817837,0.0,0.31064895199517073,0.0067448434183153055,0.0,0.0,0.00015859164359734661,0.00020454259416602958,0.04810197171518358,1.0389238464630257,0.64806485984285,0.0,0.022819293326559048,0.5704823331639762,0.1,0.19357655024359344,0.9678827512179671,1.0,0.7850294172828279,0.042533634055890265,0.042691951893421606,29652,7413,22239,11118,0,0.25,44478,88956,2558.4745762711864,3200.406779661017,19.390380277472026,761.4892733299126,0.7496800018569171,7,0.0003,3.0,0.6954395791231576,0.4183603252394725,0.9933366603770498,0.7602067013918343,0.04903661813271248,0.00016551906779661016,0.00015859164359734661,0.4499828876075098,3.0502696845491055,3.1218659818049908,0.8273878748281441,3.5850098618006303,0.64806485984285,3.037221391322249,2.854625273559053,0.8397095900470928,376.93220338983053,0.6314924025939683,0.6101873880725796,11.282128721980726,0.9170146917892714,11.31368671029301,2.549230484639184,0.9981005797951908,0.4873373392274824,1.0,0.30253259206222277,0.9999999989897518,0.1181675948328891,1.0,0.10725055186677787,1.0,0.04415962668293613,0.9999999989897518,0.9973254325026173,0.1581920951099719,1.3904201984405518,0.42631236375388454,0.39351243790933643,1.3631766610226388,0.9833240913132489,0.9833240913132489,0.00020454259416602958,0.3199551640930822,0.7638587153564065,23.0,1.3333333333333333,23.0,0.2395833432674408
