epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.1562579274177551,1.14477343360583,0.0,0.0,0.0,0.0,0.0,0.0,0.016826160048367456,0.0,2.128639280796051,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.7366189591871584,0.2775285008264286,0.2759432201830192,868,217,651,0,0,0.25,0,0,1854.8333333333333,2065.3333333333335,35.123098055521645,279835.7670288086,12.710396607716879,1,0.0003,3.0,1.0857589542865753,1.1933937817811966,1.254888077576955,0.5076707849899927,0.002419044574101766,0.0,0.0,0.49967362980047864,5.464173873265584,144.66666666666666,0.6207075516382853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000099341074,1.6022664904594421,1.1969944089651108,0.13892009078214565,1.3479689955711365,0.9723540743192037,0.9723540743192037,0.016826160048367456,0.3116763134797414,1.9118306438128154
2,0.8375932474931082,0.8258955578009287,0.0,0.0,0.0,0.0,0.0,0.0,0.026624104861790936,0.0,2.073294699192047,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.7451785561816939,0.42853263346156223,0.4220912688317232,868,217,651,529,0,0.25,1302,1610,1934.5,2138.0,36.96961975097656,389002.3060913086,7.254410107930501,2,0.0003,3.0,0.889771580696106,1.4244344035784404,1.0387636025746663,0.5053666830062866,0.004076010198332369,0.0,0.0,0.4992293616135915,5.332355419794719,144.66666666666666,0.5467710047960281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000099341074,1.316593627134959,1.4286332875490189,0.09353176644071937,1.330711046854655,0.9599050680796305,0.9599050680796305,0.026624104861790936,0.3313137839237849,1.6008990009625752
3,2.1314612925052643,2.1155041058858237,0.0,0.08247566347320874,0.07123613357543945,0.0,0.0,0.0,0.031739319276918344,0.0,1.9637436270713806,0.0,0.012,0.4,0.1,0.0,0.0,1.0,0.7392071166325138,0.31596740003376916,0.3129791153424579,868,217,651,529,0,0.25,1302,1610,1933.8333333333333,2138.5,42.48822752634684,525758.5907796224,67.39428601662318,2,0.0003,3.0,1.0630729993184407,1.7537217537562053,1.2923596898714702,0.5241707861423492,0.004904846816013257,0.0,0.0,0.5005627373854319,5.0120846430460615,144.66666666666666,0.6012984762589136,1.0,0.31698442498842877,0.8333333333333334,0.2113069941600164,0.25,0.08880714947978656,1.0,0.04705749824643135,0.8333333333333334,0.3180785079797109,0.5000000099341074,1.4864126046498616,1.7527111570040386,0.24586467879513899,1.310655415058136,0.9454379777113596,0.9454379777113596,0.031739319276918344,0.3542625705401103,1.844713032245636
4,0.6546744257211685,0.6396711617708206,0.0,0.1700683757662773,0.0654792586962382,0.0,0.0,7.500091063169141e-06,0.014731556798020998,0.0,1.8206761082013447,0.0,0.011104671398152119,0.3701557132717373,0.1,0.0,0.0,1.0,0.7460430541325136,0.4935078981570292,0.48641878637881647,868,217,651,529,0,0.25,1302,1610,1866.1666666666667,2073.6666666666665,31.121633847554524,200988.0780843099,25.647381862004597,4,0.0003,3.0,0.8994265794754028,1.116087019443512,1.1523917814095814,0.6038457453250885,0.007520431885495782,0.0,7.500091063169141e-06,0.5038195053736368,4.647412379582723,144.66666666666666,0.5212802092234293,1.0,0.3288762494921684,1.0,0.17482896645863852,0.5,0.16673080871502557,1.0,0.05038106565674146,1.0,0.9758235911528269,0.5000000099341074,1.1996841530005138,1.113140344619751,0.2745687874654929,1.3489512006441753,0.9730626046657562,0.9730626046657562,0.014731556798020998,0.30784407754739124,1.5280036131540935
5,0.8014579713344574,0.7818668236335119,0.0,0.24856135745843252,0.11848655343055725,0.0,0.0,0.00011415675301880886,0.02202276495518163,0.0,1.882626513640086,0.0,0.012637440377741893,0.42124801259139644,0.1,0.0,0.0,1.0,0.7455200862363388,0.5121158019485147,0.5046982746737233,868,217,651,529,0,0.25,1302,1610,1892.0,2108.0,36.07752641042074,269025.1440022786,11.50202445189158,4,0.0003,3.0,1.0843588809172313,1.66130797068278,1.3413762251536052,0.6612169841925303,0.010878690673659245,0.0006510416666666666,0.00011415675301880886,0.5048437913258871,4.917213360468547,144.66666666666666,0.662757674853007,1.0,0.3182084610064824,1.0,0.21831122040748596,0.75,0.21962331980466843,1.0,0.04582229753335317,1.0,0.9763473868370056,0.5000000099341074,1.4254756172498066,1.651743878920873,0.4617392023404439,1.3336976766586304,0.9620595375696818,0.9620595375696818,0.02202276495518163,0.323443924387296,1.791312336921692
