epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,diffusion_reconstruction_score,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean
1,1.0440436601638794,1.0435749292373657,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.6577065385464987,0.02799760054508659,0.030473706693534136,72,18,54,0,0,0.25,0,0,117.0,145.33333333333334,4082.460005760193,4993489764.827861,3.071601072947184,1,0.0003,3.0,0.5065653622150421,62.492891858021416,0.7486863136291504,0.4876883924007416,0.0003787462095109125,0.0,0.0,0.49991487463315326,0.059898491948843,7.928752899169922,0.5047402779261271,7.999984582265218,1.4894670902140206,0.9971175392468771,0.480783353249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.680793046951294,62.49215915799141,0.000724573212210089,1.3698227405548096,0.9881182114283243,0.9881182114283243,0.009374999751647314,0.27512578169504803,0.9505972663561503,,,,,,,,
2,0.9988096555074056,0.9711034496625265,0.0,0.08563496917486191,0.13143410285313925,0.0,0.0,0.0,0.0,0.0,1.296068509419759,0.9496861894925436,0.04,1.0,0.1,0.0,0.0,1.0,0.7033907665120389,0.03381247440388278,0.03594156558753206,72,18,54,28,0,0.25,108,216,106.33333333333333,137.33333333333334,11.572209993998209,247.1362101236979,2.1557054917017617,2,0.0003,3.0,0.3574198782444,0.24518599112828574,0.4950447082519531,0.4870013991991679,0.0017583521936709683,0.0,0.0,0.4996744692325592,0.055682770907878876,7.943496545155843,0.5039717157681783,7.999980926513672,1.7758179505666096,0.9988640348116556,0.4924267927805583,1.0,0.3320696751276652,0.6666666666666666,0.13603701690832773,0.25,0.017229020595550537,1.0,0.07336736842989922,0.6666666666666666,0.0,0.3333333432674408,0.6036950548489889,0.24119470516840616,0.0028400441321233907,1.3847362200419109,0.9988760352134705,0.9988760352134705,0.0,0.26588110129038495,0.8459993203481039,1.9506311416625977,4.000957091649373,0.9496861894925436,4.007123788197835,4.009179592132568,0.011142185889184475,18.0,0.29522600769996643
3,1.0041022698084514,0.9746428529421488,0.0,0.14719964812199274,0.15918060143788657,0.0,0.0,0.0,0.0,0.0,1.6094307899475098,0.7360026041666666,0.011726283657361591,0.2931570914340398,0.1,0.0,0.0,1.0,0.7041500994035785,0.032870918009707456,0.03488844215311035,72,18,54,28,0,0.25,108,216,98.33333333333333,117.33333333333333,12.424835522969564,275.1869608561198,2.520866314570109,3,0.0003,3.0,0.4131578505039215,0.2719983657201131,0.5413027902444204,0.49544679125150043,0.0027266777275751033,0.0,0.0,0.5003273288408915,0.061783971885840096,7.957858244578044,0.5044927000999451,7.999985694885254,0.9256901523670725,0.9953281680742899,0.4688544273376465,1.0,0.2831440468629201,1.0,0.1925677408774694,0.5,0.08365084230899811,1.0,0.03253727965056896,1.0,0.9564274748166403,0.3333333432674408,0.6901219487190247,0.2686610420544942,0.004623848013579845,1.3832331498463948,0.9977917671203613,0.9977917671203613,0.0,0.2729482750097911,0.9593701362609863,2.716341972351074,4.020321687062581,0.7360026041666666,4.015426953633626,4.013795455296834,0.022354758034149807,18.0,0.4706207513809204
4,4.102376898129781,4.076352457205455,0.0,0.19711066285769144,0.15253559748331705,0.0,0.0,0.0,0.009374999751647314,0.0,1.1895577510197957,0.607124408086141,0.015205554515344125,0.3801388628836031,0.1,0.0,0.0,1.0,0.7094654296443561,0.03381115660581105,0.036094698654666815,72,18,54,28,0,0.25,108,216,104.33333333333333,129.0,1463.71368376414,680555990.6016235,4302.146349291007,4,0.0003,3.0,0.4125920534133911,81.974646906058,0.61026731133461,0.5019129316012064,0.00246399218061318,0.0,0.0,0.49981585144996643,0.06611239537596703,7.872972806294759,0.5046617984771729,7.99997615814209,1.61899201075236,0.9975647131601969,0.4837643603483836,1.0,0.25433939695358276,1.0,0.14525973300139108,0.75,0.08957323307792346,1.0,0.024236821569502354,1.0,0.9596314032872518,0.3333333432674408,0.6019206444422404,81.97163326044877,0.005004627164453268,1.369024674097697,0.9875425100326538,0.9875425100326538,0.009374999751647314,0.2795526683330536,0.8518097003300985,1.7323003609975178,4.052096684773763,0.607124408086141,4.021248976389567,4.010966142018636,0.03477605991065502,18.0,0.2515743374824524
5,0.9339120785395304,0.9030748407046,0.0,0.31415896614392597,0.14545329411824545,0.0,0.0,0.0,0.009374999751647314,0.0,1.4400277137756348,0.615785280863444,0.01787828692067447,0.4469571730168618,0.1,0.0,0.0,1.0,0.7105284956925116,0.03345534134764272,0.03553809407721889,72,18,54,28,0,0.25,108,216,102.66666666666667,115.33333333333333,1446.1828581492107,782628273.1510264,2.389711300532023,5,0.0003,3.0,0.4596488873163859,93.57700324058533,0.6664740443229675,0.5070931216080984,0.0020942611154168844,0.0,0.0,0.500810444355011,0.073082834482193,7.9615505536397295,0.5051092108090719,7.999981721242269,1.459579865137736,0.9974013566970825,0.4826754629611969,1.0,0.30223297079404193,1.0,0.19898170232772827,1.0,0.06319323554635048,1.0,0.03953804820775986,1.0,0.9631330172220866,0.3333333432674408,0.6850600242614746,93.57706794142723,0.00614310863117377,1.3677271207173665,0.9866065780321757,0.9866065780321757,0.009374999751647314,0.2844899594783783,0.9642907381057739,2.362239201863607,4.040593147277832,0.615785280863444,4.012757778167725,4.003479083379109,0.03679756820201874,18.0,0.4457581837972005
