epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.0328740080197651,1.0324052572250366,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.728006958250497,0.037347631266021655,0.043487203004580186,72,18,54,0,0,0.25,0,0,144.0,190.0,5369.232248942058,23609240615.001385,3.713876167933146,1,0.0003,3.0,0.923697312672933,65.32743234435718,0.9601064721743265,0.5155758659044901,0.0003660582200003167,0.0,0.0,0.5005560020605723,0.08841746052106221,11.214386940002441,0.4992046852906545,11.313687006632486,2.1047752428276,0.9967434406280518,0.47828903794288635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.4443581104278564,65.32254486282666,0.0011951059956724446,1.3690043290456135,0.987527867158254,0.987527867158254,0.009374999751647314,0.2806921402613322,1.3079684972763062
2,0.9980608622233073,0.9866112271944681,0.0,0.08717220028241475,0.15925490856170654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.728283079301966,0.03419538666193094,0.03755330646610658,72,18,54,28,0,0.25,108,216,113.0,131.33333333333334,16.564093907674152,524.8516337076823,3.0202965339024863,2,0.0003,3.0,0.7621604402860006,0.2710193395614624,0.7280607422192892,0.5272014538447062,0.0010529583669267595,0.0,0.0,0.5007925430933634,0.09118464092413585,11.223636309305826,0.4988645315170288,11.313681920369467,2.1126718123753867,0.9946444630622864,0.4642959435780843,1.0,0.33681732416152954,0.6666666666666666,0.16122762858867645,0.25,-0.0049544622500737505,1.0,0.07620202749967575,0.6666666666666666,0.0,0.3333333432674408,1.2836090326309204,0.2683938543001811,0.004387120095392068,1.38316543896993,0.9977429509162903,0.9977429509162903,0.0,0.27398553490638733,1.120261510213216
3,0.8854344685872396,0.8761378129323324,0.0,0.14471078167359033,0.15312441190083823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011336167699950082,0.28340419249875204,0.1,0.0,0.0,1.0,0.7251905235255136,0.033159029610800625,0.035547567017573514,72,18,54,28,0,0.25,108,216,125.66666666666667,156.33333333333334,17.753886540730793,574.5656331380209,3.446773886680603,2,0.0003,3.0,0.8760144114494324,0.3077320357163747,0.8541963299115499,0.5576786796251932,0.003323489218018949,0.0,0.0,0.5016323129336039,0.10070481896400452,11.208893775939941,0.5000563065210978,11.313682874043783,2.2218241578666493,0.9959885478019714,0.4732569356759389,1.0,0.27758367856343585,1.0,0.20365902284781137,0.5,0.10589334617058437,1.0,0.03309854834030072,1.0,0.9451935092608134,0.3333333432674408,1.4639416535695393,0.30731136600176495,0.008883931518842777,1.3793470462163289,0.9949885408083597,0.9949885408083597,0.0,0.29537739356358844,1.2823323408762615
4,0.7741693655649821,0.7645131150881449,0.0,0.20231640338897705,0.13251217206319174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014979643992561933,0.3744910998140483,0.1,0.0,0.0,1.0,0.7215595316986967,0.03293227100559553,0.035078306753313346,72,18,54,28,0,0.25,108,216,118.0,149.0,16.78328005472819,529.2968546549479,2.9401708046595254,2,0.0003,3.0,0.7815759778022766,0.303063044945399,0.7305089036623637,0.5918029149373373,0.005803446828698118,0.0,0.0,0.5030272006988525,0.10727518300215404,11.22664992014567,0.5008001526196798,11.313678741455078,1.2937746899939764,0.9972735444704691,0.4818236331144969,1.0,0.2614237268765767,1.0,0.1422096093495687,0.75,0.13368647048870722,1.0,0.02441997639834881,1.0,0.9501564900080363,0.3333333432674408,1.3325608968734741,0.3026245137055715,0.015266834758222103,1.3782572746276855,0.994202454884847,0.994202454884847,0.0,0.3002916177113851,1.110033631324768
5,0.7533735036849976,0.7398580511411031,0.0,0.2987312277158101,0.1643476883570353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017735295187985455,0.44338237969963634,0.1,0.0,0.0,1.0,0.7179423459244533,0.032807432482126975,0.03483212894001767,72,18,54,28,0,0.25,108,216,112.66666666666667,131.0,18.206746419270832,615.0020345052084,3.3036763270696006,2,0.0003,3.0,0.9114456375439962,0.354366938273112,0.8500957290331522,0.6426971157391866,0.009385678606728712,0.0,0.0,0.5047998825709025,0.1244030346473058,11.260749181111654,0.5026220480600992,11.313688278198242,1.2682212979125325,0.9976821740468343,0.48454758524894714,1.0,0.28750831882158917,1.0,0.1899534066518148,1.0,0.10836010177930196,1.0,0.03450464581449827,1.0,0.9543890953063965,0.3333333432674408,1.563445766766866,0.3538900812466939,0.027271678671240807,1.373011867205302,0.9904187122980753,0.9904187122980753,0.0,0.3103126585483551,1.350706696510315
