epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean
1,1.0328740278879802,1.0324052770932515,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.728006958250497,0.037347631266021655,0.043487203004580186,72,18,54,0,0,0.25,0,0,144.0,190.0,5369.232248942058,23609240615.001385,3.713876167933146,1,0.0003,3.0,0.923697312672933,65.32744250694911,0.9601064721743265,0.5155758659044901,0.00036605823940287036,0.0,0.0,0.5005560020605723,0.08845677971839905,11.214386940002441,0.4992046852906545,11.313686688741049,2.107641321296493,0.9967434406280518,0.47828903794288635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,1.4443581501642864,65.32254993915558,0.0011951059568673372,1.3690043687820435,0.9875278472900391,0.9875278472900391,0.009374999751647314,0.2806921402613322,1.3079684972763062,,,
2,1.0044255057970684,0.9866180022557577,0.0,0.08717590570449829,0.15925671656926474,0.0,0.0,0.0,0.0,0.0,1.2715250651041667,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7282554671968191,0.034191567295347634,0.037549352920721785,72,18,54,28,0,0.25,108,216,113.0,131.33333333333334,16.564149220784504,524.8556009928385,3.0202389558156333,2,0.0003,3.0,0.7621605594952902,0.2710216244061788,0.7280606627464294,0.5271987318992615,0.001052969911446174,0.0,0.0,0.5007923642794291,0.09118596216042836,11.223641077677408,0.498864084482193,11.313681602478027,2.112684965133667,0.9946444630622864,0.4642959435780843,1.0,0.33683157960573834,0.6666666666666666,0.16123570501804352,0.25,-0.0049360959480206175,1.0,0.07620546718438466,0.6666666666666666,0.0,0.3333333432674408,1.2836091915766399,0.26839349667231244,0.004386680743967493,1.383164882659912,0.9977425734202067,0.9977425734202067,0.0,0.27398791909217834,1.1202600797017415,2.7382445335388184,18.0,0.29522600769996643
3,0.8174898425738016,0.7998132308324178,0.0,0.15062957753737768,0.16225854555765787,0.0,0.0,0.0,0.0,0.0,1.571232000986735,0.0,0.011335858709471566,0.2833964677367891,0.1,0.0,0.0,1.0,0.726653965098299,0.03332239685845293,0.0357868820881578,72,18,54,28,0,0.25,108,216,125.66666666666667,156.33333333333334,17.804920196533203,588.0223795572916,3.2631569306055703,2,0.0003,3.0,0.8947873711585999,0.30940048893292743,0.8708389202753702,0.5614886283874512,0.0035457193541030088,0.0,0.0,0.5017146865526835,0.10235708703597386,11.209423383076986,0.49997761845588684,11.31368319193522,2.2232671879028203,0.9959885478019714,0.4732569356759389,1.0,0.29031725227832794,1.0,0.18546998500823975,0.5,0.10262992729743321,1.0,0.03336814294258753,1.0,0.9451198577880859,0.3333333432674408,1.5028326114018757,0.30909453829129535,0.009354480231801668,1.3789562384287517,0.9947066505750021,0.9947066505750021,0.0,0.29522571961085003,1.2914058367411296,3.754673798878988,18.0,0.45087645451227826
4,0.7908410827318827,0.7750399112701416,0.0,0.20183279116948447,0.1374003291130066,0.0,0.0,0.0,0.0,0.0,1.1840794086456299,0.0,0.014917183719667384,0.3729295929916846,0.1,0.0,0.0,1.0,0.7245278330019881,0.03341248348273252,0.035751477179730255,72,18,54,28,0,0.25,108,216,114.66666666666667,146.0,16.916432698567707,534.2984720865885,3.0221386750539145,2,0.0003,3.0,0.7810596227645874,0.307452251513799,0.7293883562088013,0.5908617774645487,0.0058498553310831385,0.0,0.0,0.5028773148854574,0.10753156493107478,11.228876113891602,0.5007627606391907,11.313678741455078,1.398652531580107,0.9973029891649882,0.48201985160509747,1.0,0.2607310066620509,1.0,0.14293276766935983,0.75,0.13203107565641403,1.0,0.024654651060700417,1.0,0.9504616061846415,0.3333333432674408,1.3335150480270386,0.30714958906173706,0.01531271388133367,1.3787623246510823,0.9945667386054993,0.9945667386054993,0.0,0.2978214720884959,1.107338547706604,2.4277462164560952,18.0,0.2595877945423126
5,0.7326534787813822,0.713076651096344,0.0,0.3044319748878479,0.14915045102437338,0.0,0.0,0.0,0.0,0.0,1.3479231198628743,0.0,0.017671167150555042,0.441779178763876,0.1,0.0,0.0,1.0,0.7204964656505412,0.033436158148353025,0.03579572555269845,72,18,54,28,0,0.25,108,216,121.0,148.0,18.141560236612957,640.2971394856771,3.3055806159973145,2,0.0003,3.0,0.9328635136286417,0.3644860585530599,0.856599768002828,0.6385581890741984,0.009273512909809748,0.0,0.0,0.5048964023590088,0.12392394493023555,11.262452443440756,0.5032190680503845,11.313685735066732,1.6204012392360407,0.9968646566073099,0.47909748554229736,1.0,0.29355087876319885,1.0,0.1813555210828781,1.0,0.11982488383849461,1.0,0.0362663883715868,1.0,0.9541558027267456,0.3333333432674408,1.5792705217997234,0.3654141624768575,0.030076708644628525,1.3731881380081177,0.9905458490053812,0.9905458490053812,0.0,0.3044424255688985,1.2998396158218384,3.132575591405233,18.0,0.37434227267901105
