epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.9065933757358127,0.8946586979760064,0.0,0.0,0.0,0.0,0.0,0.0,4.998670192435384e-06,0.0,2.107793781492445,0.6977238257726034,0.04,1.0,0.1,0.0,0.0,1.0,0.7472669275441803,0.03892340121997198,0.03902140084447384,29652,7413,22239,0,0,0.25,0,0,16417.222222222223,20869.88888888889,18.101528379652237,683.6250474717882,0.7652658952607049,1,0.0003,3.0,0.808359271950192,0.31526389055781895,0.8512056006325616,0.535666479004754,0.002127050473872158,0.0,0.0,0.5011382268534766,4.770657486385769,5.682011233435737,0.6977238257726034,5.66876220703125,5.664346006181505,0.02505029013587369,3294.6666666666665,0.6247104936175876,0.0956885814666748,11.22020435333252,0.4997172686788771,11.313682874043783,2.693929433822632,0.9982380138503181,0.48825354046291775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518519070413378,1.317809568511115,0.31533225377400714,0.012008701683953404,1.3809631135728624,0.9961543083190918,0.9961543083190918,4.998670192435384e-06,0.27922475669119096,1.2425512472788494
2,0.9394304421212938,0.9211244384447733,0.0,0.08148803148004743,0.06546699338489109,0.0,0.0,0.0,1.0613666543374873e-05,0.0,2.0881097846561008,0.6660217973921034,0.04,1.0,0.1,0.0,0.0,1.0,0.7595578192823473,0.040057706166649144,0.040189877997434335,29652,7413,22239,11118,0,0.25,44478,88956,16317.888888888889,20217.555555555555,17.736658096313477,637.6487901475695,0.6641074849499596,2,0.0003,3.0,0.6598720815446641,0.3189893795384301,0.7607856392860413,0.56152519914839,0.004546647943142388,0.0,0.0,0.5026243792639838,4.728117307027181,5.678661240471734,0.6660217973921034,5.637384414672852,5.623625702328152,0.07153048407700327,3294.6666666666665,0.6160880194769965,0.10980074604352315,11.238459375169542,0.501888652642568,11.313682132297092,2.3948226239946155,0.9982571336958144,0.48838065067927044,1.0,0.3145369092623393,0.8888888822661506,0.17157199647691515,0.25,0.07334371573395199,1.0,0.056732231130202614,0.8888888822661506,0.6634470025698344,0.18518519070413378,1.0720203916231792,0.31956837905777824,0.01688580008016692,1.3727837933434381,0.9902541703648038,0.9902541703648038,1.0613666543374873e-05,0.30909232298533124,1.1004519197675917
3,0.9066053032875061,0.8907517260975308,0.0,0.1828178515036901,0.02596511443456014,0.0,0.0,0.0,4.343226181744184e-05,0.0,2.0367277463277182,0.6667238805029128,0.016607026814993937,0.4151756703748484,0.1,0.0,0.0,1.0,0.7771037884165205,0.04371527211602149,0.04386933215595215,29652,7413,22239,11118,0,0.25,44478,88956,16417.88888888889,20292.777777777777,18.205938975016277,700.6849500868055,0.46432807710435653,3,0.0003,3.0,0.7446291049321493,0.3043985201252831,0.8543161220020719,0.5518041517999437,0.006314972777747446,0.0,0.0,0.5013175474272834,4.6475288603040905,5.5918837123447,0.6667238805029128,5.515635331471761,5.490219169192844,0.13558163576655918,3294.6666666666665,0.6161166561974419,0.14503373040093315,11.252679824829102,0.5047511723306444,11.313685099283854,2.4736536343892417,0.9982491201824613,0.48832770188649494,1.0,0.35039165284898544,0.9999999933772616,0.24524760080708397,0.5,0.07428405889206463,1.0,0.05963335558772087,0.9999999933772616,0.9946862326727973,0.18518519070413378,1.2109737926059299,0.3044956359598372,0.014679740596976545,1.3647770484288533,0.9844785266452365,0.9844785266452365,4.343226181744184e-05,0.3353137539492713,1.2314436700608995
4,0.8884393771489462,0.8715812895033095,0.0,0.2667299442821079,0.021074169211917453,0.0,0.0,0.0,9.189831972536114e-06,0.0,1.9605093134774103,0.6649369994799296,0.017513857840545592,0.4378464460136398,0.1,0.0,0.0,1.0,0.7784367335445189,0.043965611032336926,0.04410218350418952,29652,7413,22239,11118,0,0.25,44478,88956,16551.444444444445,20532.444444444445,17.480243259006077,673.0816582573784,0.46735576126310563,4,0.0003,3.0,0.6653622455067105,0.30434805154800415,0.7767010198699104,0.6025930113262601,0.009324357741408877,0.0,0.0,0.5038148760795593,4.563588619232178,5.409020105997722,0.6649369994799296,5.20976448059082,5.143346203698052,0.34406691789627075,3294.6666666666665,0.6190704504648844,0.2143324464559555,11.260095172458225,0.5118971864382426,11.313681390550402,2.5191462304857044,0.9981063471900092,0.487375451458825,1.0,0.34200665685865617,0.9999999933772616,0.21250680088996887,0.75,0.10333654201693004,1.0,0.060158600409825645,0.9999999933772616,0.9949987530708313,0.18518519070413378,1.0983477036158245,0.30384478635258144,0.017999187318815127,1.3588607178794012,0.9802108208338419,0.9802108208338419,9.189831972536114e-06,0.3476974666118622,1.0867551697625055
5,0.8873086174329122,0.8688691125975715,0.0,0.3571891321076287,0.014535360866122775,0.0,0.0,2.3044796964515828e-07,4.926285732330547e-06,0.0,1.9135706822077434,0.6763087444835238,0.01901515800981645,0.4753789502454112,0.1,0.0,0.0,1.0,0.7802471177855513,0.043860449755513876,0.043977633636031147,29652,7413,22239,11118,0,0.25,44478,88956,16645.555555555555,20665.88888888889,18.441674126519096,750.0666164822048,0.5515710877047645,5,0.0003,3.0,0.7917430996894836,0.32468119594785905,0.8964555727110969,0.6607603232065836,0.012444053052200211,0.0,2.3044796964515828e-07,0.5080035328865051,4.483373483022054,5.329769876268175,0.6763087444835238,5.149898052215576,5.089940706888835,0.33900271852811176,3294.6666666666665,0.622200071811676,0.26356662975417244,11.266786151462131,0.5247006548775567,11.313685417175293,2.5034497578938804,0.9981148706542121,0.4874327480792999,1.0,0.34216126468446517,0.9999999933772616,0.2413592669698927,1.0,0.09834161524971326,1.0,0.05919815103212992,0.9999999933772616,0.9958330326610141,0.18518519070413378,1.2849917941623263,0.3238906462987264,0.020183706035216648,1.3590272002749972,0.9803308910793729,0.9803308910793729,4.926285732330547e-06,0.34361080990897286,1.2290677626927693
