epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,cold_start_context_signal_mean,cold_start_gate_max,cold_start_gate_mean,cold_start_gate_min,cold_start_support_count_mean,cold_start_zero_support_ratio,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.9739612638950348,0.9630724787712097,0.0,0.0,0.0,0.0,0.0,0.0,0.009027328337348687,0.0,2.0874858101209006,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7754355241318923,0.5179190244802645,0.5098522645296594,936,234,702,0,0,0.25,0,0,1945.6666666666667,2175.1666666666665,28.806669235229492,74234.06978352864,11.39194413026174,1,0.0003,3.0,0.42567937076091766,0.045447954908013344,0.020504567151268322,0.0023629338441727064,14.082765738169352,0.0,1.1589260896046956,0.7468611498673757,1.3766319155693054,0.4913071244955063,0.001990560054158171,0.0,0.0,0.5007781684398651,5.871215025583903,117.0,0.6660496393839518,0.1086641363799572,13.663584391276041,0.5017768641312917,13.85636568069458,0.0004897652785681809,0.9953566988309225,0.46904472013314563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500000019868215,1.743323564529419,0.7482365518808365,0.05996709565321604,1.3627710541089375,0.9830314815044403,0.9830314815044403,0.009027328337348687,0.29626796146233875,1.7063217361768086
2,0.6608723849058151,0.6432557900746664,0.0,0.06888531396786372,0.07992552717526753,0.0,0.0,0.0,0.020447878768512357,0.0,1.9685004750887554,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7743377288707085,0.5613835565716387,0.5521295943992564,936,234,702,621,0,0.25,1318,1533,2035.5,2268.0,30.575175285339355,111954.10620117188,6.228021740913391,1,0.0003,3.0,0.4241601725419362,0.04402194544672966,0.019919536697367828,0.0019125950057059526,14.971080938975016,0.0,1.042248696088791,1.044445628921191,1.2910510897636414,0.5510545571645101,0.004928482424778243,0.0,0.0,0.502169539531072,5.8017048835754395,117.0,0.6396114031473795,0.13361460467179617,13.656628131866455,0.5068044861157736,13.856353759765625,0.0006709235361389195,0.9961955845355988,0.4746371905008952,1.0,0.2646038954456647,0.8333333333333334,0.17590261002381644,0.25,0.21505958835283914,1.0,0.04284469907482465,0.8333333333333334,0.31999138991038006,0.500000019868215,1.5069246689478557,1.0449139724175136,0.04027146007865667,1.333421528339386,0.9618602891763052,0.9618602891763052,0.020447878768512357,0.33145563304424286,1.5301807522773743
3,0.4484753559033076,0.43119702239831287,0.0,0.1484014093875885,0.09975860516230266,0.0,0.0,0.0,0.017694794825123,0.0,1.8007056713104248,0.0,0.01618681267399006,0.40467031684975147,0.1,0.0,0.0,1.0,0.7713492862152638,0.5633532489035211,0.5540298440625266,936,234,702,621,0,0.25,1318,1533,2087.1666666666665,2334.0,32.887194315592446,104786.7905883789,3.335370719432831,1,0.0003,3.0,0.42291031281153363,0.04601056377092997,0.019479016462961834,0.002375192086522778,15.216474374135336,0.0,1.1446345547835033,1.1837367912133534,1.4595672289530437,0.5646254022916158,0.007453153763587276,0.0,0.0,0.5023387769858042,5.210863749186198,117.0,0.6194652616977692,0.17159981280565262,13.638351440429688,0.514320303996404,13.85636854171753,0.0006548500969074667,0.9956735869248708,0.4711572825908661,1.0,0.28397196779648465,1.0,0.2101126785079638,0.5,0.3008439516027768,1.0,0.04650449752807617,1.0,0.9797156055768331,0.500000019868215,1.6077290773391724,1.183430254459381,0.07652086640397708,1.339652160803477,0.9663547277450562,0.9663547277450562,0.017694794825123,0.32659032940864563,1.6890813906987507
4,0.3392793412009875,0.322852723300457,0.0,0.15216501305500665,0.0945473313331604,0.0,0.0,0.0,0.019517105049089878,0.0,1.5645007491111755,0.0,0.01906409712115293,0.47660242802882324,0.1,0.0,0.0,1.0,0.7754834437663091,0.577258880949037,0.56792917675617,936,234,702,621,0,0.25,1318,1533,1983.5,2201.1666666666665,32.97739028930664,94799.36722819011,7.155439138412476,4,0.0003,3.0,0.417430117726326,0.04375075424710909,0.020061990867058437,0.0027288385899737477,13.569501876831055,0.0,1.0159378846486409,1.3112575908501942,1.3110519548257191,0.5236099561055502,0.009020708967000246,0.0,0.0,0.5007534374793371,4.978030602137248,117.0,0.6993150611718496,0.23728618770837784,13.693490982055664,0.5291741589705149,13.856357256571451,0.0006540288935260227,0.9965383211771647,0.4769219756126404,1.0,0.19414964318275452,1.0,0.14747830728689829,0.75,0.4144942065080007,1.0,0.02726252159724633,1.0,0.9815965096155802,0.500000019868215,1.4000213344891865,1.3060468931992848,0.15897007783253989,1.3450367252031963,0.9702388644218445,0.9702388644218445,0.019517105049089878,0.3098577509323756,1.487262785434723
5,0.515895426273346,0.4986891026298205,0.0,0.1970424676934878,0.07301621635754903,0.0,0.0,0.0,0.018661313568979192,0.0,1.5848854978879292,0.0,0.02384270342838617,0.5960675857096542,0.1,0.0,0.0,1.0,0.7758014558856202,0.5884911264945991,0.5790683819286576,936,234,702,621,0,0.25,1318,1533,2037.3333333333333,2269.6666666666665,33.68083572387695,104817.96781412761,33.65628965695699,5,0.0003,3.0,0.4193905343612035,0.04534324258565903,0.019600319676101208,0.0024445106585820517,14.296038150787354,0.0,1.1425823271274567,1.3885721762975056,1.469908098379771,0.5362766434748968,0.012472310879578194,0.0,0.0,0.49956052501996356,4.724917570749919,117.0,0.641358862320582,0.28593809902668,13.705464998881022,0.5447108248869578,13.856373310089111,0.0007006577943684533,0.9965879519780477,0.4772532284259796,1.0,0.18727215752005577,1.0,0.16759118686119714,1.0,0.4214283625284831,1.0,0.027815059603502352,1.0,0.9816707571347555,0.500000019868215,1.5554465452829997,1.3776970108350117,0.2902395526568095,1.3388906915982564,0.9658055106798807,0.9658055106798807,0.018661313568979192,0.32546880344549817,1.641837219397227
