epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio
1,0.8031199746212717,0.803118245076325,0.0,0.0,0.0,0.0,0.0,0.0,3.4568059888088255e-05,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7812219161189512,0.04559307869393499,0.04577352183421971,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.99760527529959,756.1744002002781,0.8357910311828225,1,0.0003,3.0,0.7807860505782952,0.3613424568863238,0.8876462972770303,0.6029979627011186,0.007247700189216599,0.0,0.0,0.5044404167239949,0.21791261775513826,11.263200339624436,0.5199650965504727,11.313685514159122,2.65172832295046,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.235856765407627,0.362280594595408,0.020524540450423956,1.3607647055286471,0.9815842377937446,0.9815842377937446,3.4568059888088255e-05,0.3166173681364221,1.2352296962576397,,,,
2,0.865517188936977,0.861246622214883,0.0,0.08620368360967959,0.0164085757934441,0.0,0.0,1.3007916110790714e-05,1.3787729539355989e-05,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7863653462106872,0.04664289560576269,0.0468294985394967,29652,7413,22239,11118,0,0.25,44478,88956,2530.915254237288,3139.5254237288136,17.752180519750564,685.0706497451006,0.659448648913432,2,0.0003,3.0,0.6978605581542193,0.30394076997950925,0.8629394224134542,0.7152566990609897,0.019989707491407962,3.3103813559322034e-05,1.3007916110790714e-05,0.5103237447092088,0.33287835676791305,11.274925652196853,0.5566716881121619,11.313682232872914,2.4922635797726906,0.9981500698348224,0.48766725447218295,1.0,0.3311879751035723,0.983050846447379,0.20946475383588822,0.25,0.135332059430874,1.0,0.06307043280389349,0.983050846447379,0.94717345197322,0.1581920951099719,1.1176172777757807,0.3031127518516476,0.027689715657951468,1.3558255474446184,0.97802139035726,0.97802139035726,1.3787729539355989e-05,0.3279289532515962,0.9964971229181452,,,,
3,0.8505158828476728,0.8441084512209488,0.0,0.16849786699828456,0.014336691064349675,0.0,0.0,0.0004478435301403436,1.8327161511879855e-05,0.12779960894988754,0.0,0.0,0.018331994350510708,0.4582998587627677,0.1,0.0,0.0,1.0,0.7897337046840911,0.046957442624954514,0.04717215167233138,29652,7413,22239,11118,0,0.25,44478,88956,2535.9322033898306,3156.423728813559,18.90154987270549,781.9408662440413,0.7489926653393244,3,0.0003,3.0,0.9375844971608307,0.34700336900808043,1.1575971599352561,0.8706404455637528,0.041225987565466915,0.0011831548191228154,0.0004478435301403436,0.5243066155304343,0.394330587932619,11.277146840499618,0.6475935103529591,11.31368604757018,2.542753472166546,0.9981725599806187,0.4878172525915049,1.0,0.3232170666678477,0.9999999989897518,0.21864994855250341,0.5,0.12582900185706253,1.0,0.05692345080739361,0.9999999989897518,0.9959972207829103,0.1581920951099719,1.38123804229801,0.3472344754105907,0.05234128290440066,1.354816058934745,0.9772931943505497,0.9772931943505497,1.8327161511879855e-05,0.33628427477206213,1.1002547660116422,23.0,1.3333333333333333,23.0,0.2395833432674408
4,0.8376954389830767,0.8310141179521205,0.0,0.24484330542006735,0.01056001449035386,0.0,0.0,0.0007691050684686269,1.6004853023332544e-05,0.06707893589795647,0.0,0.0,0.01933496747091526,0.4833741867728815,0.1,0.0,0.0,1.0,0.7864523862472358,0.04615693186914874,0.046269032527192604,29652,7413,22239,11118,0,0.25,44478,88956,2541.237288135593,3172.7966101694915,18.45590924408476,696.4414848715572,0.6587764999624026,3,0.0003,3.0,0.8469875778182078,0.35936064740358775,1.0456998752335371,0.8607614272731846,0.050915691685878624,0.0021864091346071937,0.0007691050684686269,0.5162291334847272,0.47393018057790853,11.27695634809591,0.7483804033974469,11.313683170383259,2.5525449170904646,0.9980695975028863,0.4871307793310133,1.0,0.3155113009072967,0.9999999989897518,0.1619534881438239,0.75,0.1396258859816244,1.0,0.05697530495413279,0.9999999989897518,0.9956364076016313,0.1581920951099719,1.3074257959753781,0.3638251247042317,0.1365997197769456,1.3539023076073597,0.9766340659836591,0.9766340659836591,1.6004853023332544e-05,0.32980862108327574,1.068752959623175,23.0,1.3333333333333333,23.0,0.2395833432674408
5,0.8408388929851984,0.8311434145701133,0.0,0.3236630432686563,0.011145412921905518,0.0,0.0,0.00040686737363210924,3.865466570166942e-05,0.10584475327346285,0.0,0.0,0.02156160354153071,0.5390400885382678,0.1,0.0,0.0,1.0,0.7857714986866482,0.04589387303978133,0.04605123334870547,29652,7413,22239,11118,0,0.25,44478,88956,2540.864406779661,3171.8474576271187,19.44451871968932,788.9438745530986,0.6869866171125638,3,0.0003,3.0,0.9238635725894216,0.3810978577298633,1.09899494506545,0.8332390472040339,0.04906617648015588,0.0015940530051998163,0.00040686737363210924,0.49729759410276253,0.49573867805933547,11.278396299329854,0.8038819684820661,11.313687276032011,2.5526247509455278,0.9981020587985798,0.4873471729836221,1.0,0.31199729417340233,0.9999999989897518,0.18078028019201958,1.0,0.12114372016009638,1.0,0.052534720497363706,0.9999999989897518,0.9963236703711041,0.1581920951099719,1.5045605008885012,0.39009913549584857,0.17228801258034626,1.349383930028495,0.9733747365111012,0.9733747365111012,3.865466570166942e-05,0.3344725693686534,1.150227684085652,23.0,1.3333333333333333,23.0,0.2395833432674408
