epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.0653793414433796,1.0513871908187866,0.0,0.0,0.0,0.0,0.0,0.0,0.009374999751647314,0.0,1.3523399432500203,0.04,1.0,0.1,0.0,0.0,1.0,0.6818119063397393,0.03186516734545701,0.033743693943492074,72,18,54,0,0,0.25,0,0,117.0,145.33333333333334,4020.877554257711,4840997725.075084,3.244694471359253,1,0.0003,3.0,0.4838941693305969,69.31640154123306,0.7043241659800211,0.48593411842981976,0.00042925252152296406,0.0,0.0,0.4990478754043579,2.1665596961975098,24.0,0.378348429997762,0.05922207608819008,7.928802490234375,0.5043021639188131,7.999984264373779,1.4837567286061433,0.9971175392468771,0.480783353249232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.69025586048762,69.31979001561801,0.0008151640649884939,1.3698394695917766,0.9881302913029989,0.9881302913029989,0.009374999751647314,0.2756190101305644,0.9178358912467957
2,0.9927877187728882,0.9704193075497946,0.0,0.08830661823352177,0.104297935962677,0.0,0.0,0.0,0.0,0.0,1.362128456433614,0.04,1.0,0.1,0.0,0.0,1.0,0.7036530815109343,0.03332102597563036,0.03520097664749623,72,18,54,28,0,0.25,108,216,109.33333333333333,141.0,11.474928220113119,240.99474080403647,2.1654107570648193,2,0.0003,3.0,0.41012274225552875,0.25076096256573993,0.596687893072764,0.48548118273417157,0.0015124460915103555,0.0,0.0,0.49984777967135113,2.170346657435099,24.0,0.42359981934229535,0.054885455717643104,7.9178744951883955,0.5037933786710104,7.999979337056478,1.8387526671091716,0.9977649847666422,0.4850999414920807,1.0,0.34278060992558795,0.6666666666666666,0.13117171823978424,0.25,0.018179078896840412,1.0,0.07774541527032852,0.6666666666666666,0.0,0.3333333432674408,0.6043887138366699,0.24568630754947662,0.0030256738731016717,1.3842809995015461,0.9985476136207581,0.9985476136207581,0.0,0.268028457959493,0.8501054644584656
3,0.9465145270029703,0.9250574509302775,0.0,0.13573639343182245,0.12542537848154703,0.0,0.0,0.0,0.0,0.0,1.3612958987553914,0.011587501495477381,0.28968753738693453,0.1,0.0,0.0,1.0,0.7092031146454605,0.0337579155658025,0.03566610594277035,72,18,54,28,0,0.25,108,216,108.66666666666667,136.33333333333334,12.264358520507812,258.3332265218099,2.369654138882955,3,0.0003,3.0,0.4230477611223857,0.26838143666585285,0.5611446797847748,0.4994591772556305,0.002374267283206185,0.0,0.0,0.5005742510159811,2.101216713587443,24.0,0.3732304573059082,0.06478372837106387,7.908396402994792,0.5041161179542542,7.999980131785075,1.9633645216623943,0.9956135153770447,0.4707566599051158,1.0,0.2601616382598877,1.0,0.20117721458276114,0.5,0.10493772476911545,1.0,0.025045680114999413,1.0,0.9639463226000468,0.3333333432674408,0.6763197580973307,0.26743871966997784,0.004690162527064483,1.382438858350118,0.9972188671429952,0.9972188671429952,0.0,0.27572481830914813,0.9778986175855001
4,0.9462714592615763,0.9202291568120321,0.0,0.19434264302253723,0.17107446988423666,0.0,0.0,0.0,0.0,0.0,1.4486725330352783,0.015446143486428301,0.3861535871607075,0.1,0.0,0.0,1.0,0.7142561298873427,0.034065777785768456,0.03599928401303294,72,18,54,28,0,0.25,108,216,104.0,122.33333333333333,11.928337097167969,233.81708780924478,2.11126176516215,4,0.0003,3.0,0.3801908989747365,0.2671470542748769,0.5589076280593872,0.5035215814908346,0.0027762876513103643,0.0,0.0,0.5012924075126648,2.3677167892456055,24.0,0.42416749397913617,0.0628212404747804,7.950362841288249,0.5050755143165588,7.999980926513672,0.9285461244605054,0.9966635902722677,0.47775693734486896,1.0,0.2507009108861287,1.0,0.1437010864416758,0.75,0.09056915591160457,1.0,0.024751121799151104,1.0,0.9660360813140869,0.3333333432674408,0.6064629952112833,0.26216476162274677,0.005734306915352742,1.3810196717580159,0.9961950381596884,0.9961950381596884,0.0,0.27957064906756085,0.8550738294919332
5,0.997350295384725,0.9712110757827759,0.0,0.33547376592954,0.13872851928075156,0.0,0.0,0.0,0.0,0.0,1.309823989868164,0.01819681340474931,0.45492033511873275,0.1,0.0,0.0,1.0,0.7169897282968853,0.03421881097848224,0.03616228316054577,72,18,54,28,0,0.25,108,216,105.0,126.33333333333333,12.766858100891113,301.6198018391927,2.9109990199406943,5,0.0003,3.0,0.422068585952123,0.31054945786794025,0.5854131579399109,0.518373986085256,0.002508275986959537,0.0,0.0,0.5020873546600342,2.006267865498861,24.0,0.37601137161254883,0.07137981553872426,7.961914698282878,0.5057742198308309,7.999985853830974,1.394027529548718,0.9964048663775126,0.4760318994522095,1.0,0.3236965437730153,1.0,0.18513641754786173,1.0,0.09289840857187907,1.0,0.05040794859329859,1.0,0.9679252703984579,0.3333333432674408,0.6805641055107117,0.30437596638997394,0.007525636659314235,1.377314607302348,0.9935224652290344,0.9935224652290344,0.0,0.2890494763851166,0.9666781028111776
